Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
OBJECTID,Internal feature number.,Esri,Sequential unique whole numbers that are automatically generated.
Shape,Feature geometry.,Esri,Coordinates defining the features.
edit_date,,,
country,,,
state,,,
county,,,
inc_muni,,,
addr_numbe,,,
addr_frac,,,
st_dir,,,
st_name,,,
st_type,,,
zip_code,,,
extd_zip,,,
unit,,,
coord_x,,,
coord_y,,,
created_user,,,
created_date,,,
last_edited_user,,,
last_edited_date,,,
external_nguid,,,
blocklot,,,
full_addr,,,
address_id,,,
cline_id,,,
editor,,,
loc_name,,,
dirsuf,,,
com_idnfr,,,
