Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
OBJECTID,Internal feature number.,Esri,Sequential unique whole numbers that are automatically generated.
Shape,Feature geometry.,ESRI,Coordinates defining the features.
STREETCL_,,,
SUBTYPE,,,
SYMBOL,,,
L_F_ADD,,,
L_T_ADD,,,
R_F_ADD,,,
R_T_ADD,,,
PRE_DIR,,,
ST_NAME,,,
ST_TYPE,,,
SUF_DIR,,,
ZIPL,,,
ZIP_EXTL,,,
ZIPR,,,
ZIP_EXTR,,,
ONEWAY,,,
SUFF_TYPE,,,
SUFF_ID,,,
SUFF_MAT,,,
IDNUM,,,
CFCC,,,
FIRE_L,,,
FIRE_R,,,
POLICE_L,,,
POLICE_R,,,
EMS_R,,,
EMS_L,,,
FULLNAME,,,
BLOCKTEXT,,,
Shape_Leng,,,
Shape_Length,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.
