Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
OBJECTID,Internal feature number.,Esri,Sequential unique whole numbers that are automatically generated.
Shape,Feature geometry.,Esri,Coordinates defining the features.
Name,,,
Population,,,
White,,,
Blk_AfAm,,,
AmInd_AkNa,,,
Asian,,,
NatHaw_Pac,,,
Other_Race,,,
TwoOrMore,,,
Hisp_Lat,,,
Male,,,
Female,,,
Total_Units,,,
Occ_Occupied,,,
Occ_Vacant,,,
Tenure_Owner,,,
Tenure_Renter,,,
Vacant_ForRent,,,
Vacant_ForSale,,,
Vacant_Other_All,,,
HH_Total,,,
HH_Family,,,
HH_Married,,,
HH_OtherFamily,,,
HH_Male_NoSpouse,,,
HH_Female_NoSpouse,,,
HH_NonFamily,,,
HH_NonFamilyAlone,,,
HH_NonFamilyNotAlone,,,
HH18_With18,,,
HH18_FamilyWith18,,,
HH18_NonFamilyWith18,,,
HH18_No18,,,
HH18_FamilyNo18,,,
HH18_NonFamilyNo18,,,
Age_U5,,,
Age_5_9,,,
Age_10_14,,,
Age_15_17,,,
Age_18_21,,,
Age_22_24,,,
Age_25_29,,,
Age_30_34,,,
Age_35_39,,,
Age_40_44,,,
Age_45_49,,,
Age_50_54,,,
Age_55_59,,,
Age_60_64,,,
Age_65_69,,,
Age_70_74,,,
Age_75_79,,,
Age_80_84,,,
Age_85up,,,
Med_Age,,,
Med_Age_Male,,,
Med_Age_Female,,,
GlobalID,,,
Shape_Length,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.
Shape_Area,Area of feature in internal units squared.,Esri,Positive real numbers that are automatically generated.
