Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
OBJECTID,Internal feature number.,Esri,Sequential unique whole numbers that are automatically generated.
Shape,Feature geometry.,Esri,Coordinates defining the features.
PIN,,,
PINRELATE,,,
BLOCKLOT,,,
BLOCK,,,
LOT,,,
WARD,,,
SECTION,,,
ASSESSOR,,,
TAXBASE,,,
BFCVLAND,,,
BFCVIMPR,,,
LANDEXMP,,,
IMPREXMP,,,
CITYCRED,,,
STATCRED,,,
CCREDAMT,,,
SCREDAMT,,,
PERMHOME,,,
ASSESGRP,,,
LOT_SIZE,,,
NO_IMPRV,,,
CURRLAND,,,
CURRIMPR,,,
EXMPLAND,,,
EXMPIMPR,,,
FULLCASH,,,
EXMPTYPE,,,
EXMPCODE,,,
USEGROUP,,,
ZONECODE,,,
SDATCODE,,,
ARTAXBAS,,,
DISTSWCH,,,
DIST_ID,,,
STATETAX,,,
CITY_TAX,,,
AR_OWNER,,,
DEEDBOOK,,,
DEEDPAGE,,,
SALEDATE,,,
OWNER_ABBR,,,
OWNER_1,,,
OWNER_2,,,
OWNER_3,,,
FULLADDR,,,
STDIRPRE,,,
ST_NAME,,,
ST_TYPE,,,
BLDG_NO,,,
FRACTION,,,
UNIT_NUM,,,
SPAN_NUM,,,
SPANFRAC,,,
ZIP_CODE,,,
EXTD_ZIP,,,
DHCDUSE1,,,
DHCDUSE2,,,
DHCDUSE3,,,
DHCDUSE4,,,
DWELUNIT,,,
EFF_UNIT,,,
ROOMUNIT,,,
RPDELTAG,,,
RESPAGCY,,,
SALEPRIC,,,
PROPDESC,,,
NEIGHBOR,,,
SRVCCNTR,,,
YEAR_BUILD,,,
STRUCTAREA,,,
LDATE,,,
OWNMDE,,,
GRNDRENT,,,
SUBTYPE_GEODB,,,
SDATLINK,,,
BLOCKPLAT,,,
MAILTOADD,,,
VACIND,,,
Shape_Length,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.
Shape_Area,Area of feature in internal units squared.,Esri,Positive real numbers that are automatically generated.
