Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
OBJECTID,Internal feature number.,Esri,Sequential unique whole numbers that are automatically generated.
Shape,Feature geometry.,Esri,Coordinates defining the features.
edit_date,,,
fraddl,,,
toaddl,,,
fraddr,,,
toaddr,,,
parity_l,,,
parity_r,,,
dirpre,,,
feanme,,,
featype,,,
dirsuf,,,
country_l,,,
country_r,,,
state_l,,,
state_r,,,
county_l,,,
county_r,,,
incmuni_l,,,
incmuni_r,,,
leftzip,,,
rightzip,,,
external_nguid,,,
created_user,,,
created_date,,,
last_edited_user,,,
last_edited_date,,,
cline_id,,,
tag,,,
last_org,,,
capture_method,,,
last_user,,,
edit_type,,,
subtype,,,
feat_status,,,
fr_street,,,
to_street,,,
travel_direction,,,
fr_speed_limit,,,
to_speed_limit,,,
fraddla,,,
toaddla,,,
fraddra,,,
toaddra,,,
city_code,,,
id_prefix,,,
id_rte_no,,,
routeid_sha,,,
tsd_id,,,
sha_class,,,
func_class,,,
route_type,,,
route_number,,,
miles,,,
block_num,,,
blocktext,,,
flag,,,
evac_route,,,
comments,,,
drivable,,,
geofile_2d,,,
docpopurl,,,
RCL_Appendix_external_nguid,,,
stcl_ALIAS_external_nguid,,,
stcl_ALIAS_cline_id,,,
stcl_ALIAS_tag,,,
alias_name,,,
alias_1,,,
alias_2,,,
alias_3,,,
stcl_DOT_BASIC_external_nguid,,,
stcl_DOT_BASIC_cline_id,,,
stcl_DOT_BASIC_tag,,,
percent_grade,,,
from_intersection_id,,,
to_intersection_id,,,
transport_sector,,,
official_street_designation,,,
street_ownership,,,
street_maintenance,,,
sha_id,,,
traffic_count_aadt,,,
traffic_count_year,,,
stcl_DOT_PROFILE_external_nguid,,,
stcl_DOT_PROFILE_cline_id,,,
stcl_DOT_PROFILE_tag,,,
row_width,,,
street_width,,,
lane_count,,,
median_present,,,
median_type,,,
median_turn_lane_present,,,
shoulder_present,,,
ft_shoulder_type,,,
ft_shoulder_width,,,
tf_shoulder_type,,,
tf_shoulder_width,,,
stcl_EGIS_SNOW_external_nguid,,,
stcl_EGIS_SNOW_cline_id,,,
stcl_EGIS_SNOW_tag,,,
snowrt_type,,,
snowrt_class,,,
zone_no,,,
area_no,,,
overlay_zn,,,
overlay_rt,,,
snwemrte,,,
timeres_1_snwemrte,,,
timeres_2_snwemrte,,,
tandem_rte,,,
new_rte_cla,,,
recordid,,,
new_rte_type,,,
rtid,,,
stcl_MAVERICK_external_nguid,,,
stcl_MAVERICK_cline_id,,,
stcl_MAVERICK_tag,,,
city_l,,,
city_r,,,
map_l,,,
map_r,,,
lim_access,,,
lar_dir,,,
ft_cost,,,
tf_cost,,,
f_elev,,,
t_elev,,,
oneway,,,
speed,,,
lowlarrel,,,
highlarrel,,,
prd_l,,,
prd_r,,,
frd_l,,,
frd_r,,,
p_mod_lft,,,
p_mod_rt,,,
f_mod_lft,,,
f_mod_rt,,,
adc_map,,,
cad_feaname,,,
cad_fullnme,,,
time,,,
Shape_Length,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.
