Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
OBJECTID_1,Internal feature number.,Esri,Sequential unique whole numbers that are automatically generated.
OBJECTID,Internal feature number.,Esri,Sequential unique whole numbers that are automatically generated.
Shape,Feature geometry.,Esri,Coordinates defining the features.
overlay,,,
Label,,,
Shape_Leng,,,
URL,,,
Zoning,,,
created_user,,,
created_date,,,
last_edited_user,,,
last_edited_date,,,
Shape_Length,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.
Shape_Area,Area of feature in internal units squared.,Esri,Positive real numbers that are automatically generated.
