Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
OBJECTID,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
Shape,Feature geometry.,ESRI,Coordinates defining the features.
BRDGNMBSR,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
ObjectID,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
QUALIFIER,,,
ADT,,,
ADT_YEAR,,,
BSR,,,
LOCATION,,,
FEDERAL_AID,,,
QUADRANT,,,
MAPGRID,,,
DESCRIPTION,,,
SPANS,,,
CONSULTANT,,,
INSP_START,,,
INSP_CMPLT,,,
UNDERWTR_CMPLT,,,
SIA_CMPLT,,,
RATING_ANLYS,,,
REPORT_STRTD,,,
REPRT_CMPLT,,,
SUBMIT_DTE,,,
POSTING,,,
MOVABLE,,,
RAILROAD,,,
NOTE_,,,
DIG_NOTE,,,
BSRLBL,,,
last_edited_date,,,
COUNTY,,,
created_user,,,
created_date,,,
last_edited_user,,,
