Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
OBJECTID_1,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
OBJECTID,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
Route_Numb,,,
Shape,Feature geometry.,ESRI,Coordinates defining the features.
Route_Name,Name of Route,,
Route_Type,Transit Mode,,
Shape_Leng,,,
Dist_Polic,,,
County_FIP,,,
Municipal_,,,
Agency,Government Agency that is delivering the service.,,
created_user,,,
created_date,,,
last_edited_user,,,
last_edited_date,,,
Shape_Length,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.
