Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
OBJECTID,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
Shape,Feature geometry.,ESRI,Coordinates defining the features.
SUBWAY_,,,
SUBWAY_ID,Length of feature in internal units.,ESRI,Positive real numbers that are automatically generated.
Shape_Length,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.
ObjectID,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
created_user,,,
created_date,,,
last_edited_user,,,
last_edited_date,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.
