Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
OBJECTID,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
Shape,Feature geometry.,ESRI,Coordinates defining the features.
SUBWYSTA_,,,
SUBWYSTA_I,,,
NAME,,,
ADDRESS,,,
TO_OWINGS_,,,
TO_OLD_COU,,,
TO_MILFORD,,,
TO_REISTER,,,
TO_ROGERS_,,,
TO_WEST_CO,,,
TO_MONDAWM,,,
TO_PENN___,,,
TO_UPTON,,,
TO_LEXINGT,,,
TO_CHARLES,,,
TO_STATE_C,,,
TO_SHOT_TO,Internal feature number.,Esri,Sequential unique whole numbers that are automatically generated.
ObjectID,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
last_edited_date,,,
TO_JOHN_HO,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
URL,,,
created_user,,,
created_date,,,
last_edited_user,,,
