friendlier_id,filename,distribution_url,size,match_status,unmatched_source
b1g_VEMr3RY84R1v,edge_acs-ed_children-enrolled_public__economic_characteristics_cdp03_2013-2017.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_children-enrolled_public__economic_characteristics_cdp03_2013-2017.gpkg.zip,194.3 MB,matched,
b1g_zXQUUMXvuPcT,edge_acs-ed_children-enrolled_public__housing_characteristics_cdp04_2013-2017.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_children-enrolled_public__housing_characteristics_cdp04_2013-2017.gpkg.zip,197.6 MB,matched,
b1g_Yhh7P93ICVYZ,edge_acs-ed_children-enrolled_public__social_characteristics_cdp02_2013-2017.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_children-enrolled_public__social_characteristics_cdp02_2013-2017.gpkg.zip,195.0 MB,matched,
b1g_shynN2ggi5qf,edge_acs-ed_total_population__demographic_characteristics_dp05_2013-2017.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_total_population__demographic_characteristics_dp05_2013-2017.gpkg.zip,195.9 MB,matched,
b1g_FdUWvFhMUC1w,edge_acs-ed_total_population__economic_characteristics_dp03_2013-2017.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_total_population__economic_characteristics_dp03_2013-2017.gpkg.zip,199.7 MB,matched,
b1g_BwTh6MZV469i,edge_acs-ed_total_population__housing_characteristics_dp04_2013-2017.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_total_population__housing_characteristics_dp04_2013-2017.gpkg.zip,199.8 MB,matched,
b1g_glosDHevR3WP,edge_acs-ed_total_population__social_characteristics_dp02_2013-2017.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_total_population__social_characteristics_dp02_2013-2017.gpkg.zip,195.4 MB,matched,
b1g_284pjeBBiVMg,edge_acs-ed_children-enrolled_public__economic_characteristics_cdp03_2014-2018.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_children-enrolled_public__economic_characteristics_cdp03_2014-2018.gpkg.zip,191.8 MB,matched,
b1g_TXP813XCcjyY,edge_acs-ed_children-enrolled_public__housing_characteristics_cdp04_2014-2018.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_children-enrolled_public__housing_characteristics_cdp04_2014-2018.gpkg.zip,195.1 MB,matched,
b1g_xnXi8UCjzfTF,edge_acs-ed_children-enrolled_public__social_characteristics_cdp02_2014-2018.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_children-enrolled_public__social_characteristics_cdp02_2014-2018.gpkg.zip,192.4 MB,matched,
b1g_SUlJNNWFKMF9,edge_acs-ed_total_population__economic_characteristics_dp03_2014-2018.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_total_population__economic_characteristics_dp03_2014-2018.gpkg.zip,197.2 MB,matched,
b1g_jf8jiyw8Yg7h,edge_acs-ed_total_population__housing_characteristics_dp04_2014-2018.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_total_population__housing_characteristics_dp04_2014-2018.gpkg.zip,197.3 MB,matched,
b1g_CPjBktBwNSfr,edge_acs-ed_total_population__social_characteristics_dp02_2014-2018.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_acs-ed_total_population__social_characteristics_dp02_2014-2018.gpkg.zip,198.0 MB,matched,
b1g_k8tBt0F7QOro,edge_postsecondary_school_locations_2015-2016.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_postsecondary_school_locations_2015-2016.gpkg.zip,898.7 KB,matched,
b1g_zK6fX18hkwKZ,edge_postsecondary_school_locations_2016-2017.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_postsecondary_school_locations_2016-2017.gpkg.zip,907.5 KB,matched,
b1g_uepP3JSjprtF,edge_postsecondary_school_locations_2017-2018.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_postsecondary_school_locations_2017-2018.gpkg.zip,910.8 KB,matched,
b1g_BFaQeDf7dNmq,edge_postsecondary_school_locations_2018-2019.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_postsecondary_school_locations_2018-2019.gpkg.zip,885.2 KB,matched,
b1g_7Mkt5nK4iLok,edge_postsecondary_school_locations_2019-2020.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_postsecondary_school_locations_2019-2020.gpkg.zip,853.1 KB,matched,
b1g_zWsgYavgaYP6,edge_postsecondary_school_locations_2020-2021.gpkg.zip,https://geobtaa-assets-prod.s3.us-east-2.amazonaws.com/store/asset/b1g_30g-01/edge_postsecondary_school_locations_2020-2021.gpkg.zip,845.7 KB,matched,
