friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,field_name,field_type_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,match_status,unmatched_source
b1g_joGbEOvFDroC,OBJECTID,esriFieldTypeOID,OBJECTID,b1g_joGbEOvFDroC,"In ArcGIS, a system-managed value that uniquely identifies a record or feature.",matched,
b1g_joGbEOvFDroC,GEOID,esriFieldTypeString,GEOID,b1g_joGbEOvFDroC,Geographic Identifier - fully concatenated geographic code (State FIPS and County FIPS),matched,
b1g_joGbEOvFDroC,STATE,esriFieldTypeString,STATE,b1g_joGbEOvFDroC,Census 2-digit FIPS State Code,matched,
b1g_joGbEOvFDroC,COUNTY,esriFieldTypeString,COUNTY,,,unmatched,hud_acs_5yr_chas_estimate_data_by_county_2016-2020_fields
b1g_joGbEOvFDroC,NAME,esriFieldTypeString,NAME,b1g_joGbEOvFDroC,County Name,matched,
b1g_joGbEOvFDroC,T2_EST1,esriFieldTypeDouble,T2_EST1,b1g_joGbEOvFDroC,Total: Occupied housing units,matched,
b1g_joGbEOvFDroC,T8_EST69,esriFieldTypeDouble,T8_EST69,b1g_joGbEOvFDroC,Renter occupied AND household income is less than or equal to 30% of HAMFI,matched,
b1g_joGbEOvFDroC,T8_EST82,esriFieldTypeInteger,T8_EST82,b1g_joGbEOvFDroC,Renter occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI,matched,
b1g_joGbEOvFDroC,T8_EST95,esriFieldTypeDouble,T8_EST95,b1g_joGbEOvFDroC,Renter occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI,matched,
b1g_joGbEOvFDroC,T8_EST108,esriFieldTypeInteger,T8_EST108,b1g_joGbEOvFDroC,Renter occupied AND household income is greater than 80% but less than or equal to 100% of HAMFI,matched,
b1g_joGbEOvFDroC,T8_EST68,esriFieldTypeDouble,T8_EST68,b1g_joGbEOvFDroC,Renter occupied,matched,
b1g_joGbEOvFDroC,T8_EST3,esriFieldTypeInteger,T8_EST3,b1g_joGbEOvFDroC,Owner occupied AND household income is less than or equal to 30% of HAMFI,matched,
b1g_joGbEOvFDroC,T8_EST16,esriFieldTypeInteger,T8_EST16,b1g_joGbEOvFDroC,Owner occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI,matched,
b1g_joGbEOvFDroC,T8_EST29,esriFieldTypeDouble,T8_EST29,b1g_joGbEOvFDroC,Owner occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI,matched,
b1g_joGbEOvFDroC,T8_EST42,esriFieldTypeInteger,T8_EST42,b1g_joGbEOvFDroC,Owner occupied AND household income is greater than 80% but less than or equal to 100% of HAMFI,matched,
b1g_joGbEOvFDroC,T8_EST2,esriFieldTypeDouble,T8_EST2,b1g_joGbEOvFDroC,Owner occupied,matched,
b1g_joGbEOvFDroC,T3_EST47,esriFieldTypeInteger,T3_EST47,b1g_joGbEOvFDroC,Renter occupied AND lacking complete plumbing or kitchen facilities AND household income is less than or equal to 30% of HAMFI,matched,
b1g_joGbEOvFDroC,T3_EST48,esriFieldTypeInteger,T3_EST48,b1g_joGbEOvFDroC,Renter occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 30% but less than or equal to 50% of HAMFI,matched,
b1g_joGbEOvFDroC,T3_EST49,esriFieldTypeInteger,T3_EST49,b1g_joGbEOvFDroC,Renter occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 50% but less than or equal to 80% of HAMFI,matched,
b1g_joGbEOvFDroC,T3_EST50,esriFieldTypeInteger,T3_EST50,b1g_joGbEOvFDroC,Renter occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 80% but less than or equal to 100% of HAMFI,matched,
b1g_joGbEOvFDroC,T3_EST46,esriFieldTypeInteger,T3_EST46,b1g_joGbEOvFDroC,Renter occupied AND lacking complete plumbing or kitchen facilities,matched,
b1g_joGbEOvFDroC,T3_EST4,esriFieldTypeInteger,T3_EST4,b1g_joGbEOvFDroC,Owner occupied AND lacking complete plumbing or kitchen facilities AND household income is less than or equal to 30% of HAMFI,matched,
b1g_joGbEOvFDroC,T3_EST5,esriFieldTypeInteger,T3_EST5,b1g_joGbEOvFDroC,Owner occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 30% but less than or equal to 50% of HAMFI,matched,
b1g_joGbEOvFDroC,T3_EST6,esriFieldTypeInteger,T3_EST6,b1g_joGbEOvFDroC,Owner occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 50% but less than or equal to 80% of HAMFI,matched,
b1g_joGbEOvFDroC,T3_EST7,esriFieldTypeInteger,T3_EST7,b1g_joGbEOvFDroC,Owner occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 80% but less than or equal to 100% of HAMFI,matched,
b1g_joGbEOvFDroC,T3_EST3,esriFieldTypeInteger,T3_EST3,b1g_joGbEOvFDroC,Owner occupied AND lacking complete plumbing or kitchen facilities,matched,
b1g_joGbEOvFDroC,T3_EST53,esriFieldTypeInteger,T3_EST53,b1g_joGbEOvFDroC,"Renter occupied AND with more than 1.5 persons per room, None of the needs above AND household income is less than or equal to 30% of HAMFI",matched,
b1g_joGbEOvFDroC,T3_EST54,esriFieldTypeInteger,T3_EST54,b1g_joGbEOvFDroC,"Renter occupied AND with more than 1.5 persons per room, None of the needs above AND household income is greater than 30% but less than or equal to 50% of HAMFI",matched,
b1g_joGbEOvFDroC,T3_EST55,esriFieldTypeInteger,T3_EST55,b1g_joGbEOvFDroC,"Renter occupied AND with more than 1.5 persons per room, None of the needs above AND household income is greater than 50% but less than or equal to 80% of HAMFI",matched,
b1g_joGbEOvFDroC,T3_EST56,esriFieldTypeInteger,T3_EST56,b1g_joGbEOvFDroC,"Renter occupied AND with more than 1.5 persons per room, None of the needs above AND household income is greater than 80% but less than or equal to 100% of HAMFI",matched,
b1g_joGbEOvFDroC,T3_EST52,esriFieldTypeInteger,T3_EST52,b1g_joGbEOvFDroC,"Renter occupied AND with more than 1.5 persons per room, None of the needs above",matched,
b1g_joGbEOvFDroC,T3_EST10,esriFieldTypeInteger,T3_EST10,b1g_joGbEOvFDroC,"Owner occupied AND with more than 1.5 persons per room, None of the needs above AND household income is less than or equal to 30% of HAMFI",matched,
b1g_joGbEOvFDroC,T3_EST11,esriFieldTypeInteger,T3_EST11,b1g_joGbEOvFDroC,"Owner occupied AND with more than 1.5 persons per room, None of the needs above AND household income is greater than 30% but less than or equal to 50% of HAMFI",matched,
