friendlier_id,field_name,field_type,values,definition,definition_source,parent_field_name,position
b1g_8XwiAQ81HSby,OBJECTID,esriFieldTypeOID,,"In ArcGIS, a system-managed value that uniquely identifies a record or feature.",,,
b1g_8XwiAQ81HSby,GEOID,esriFieldTypeString,,Geographic Identifier - Census 2-digit FIPS State Code,,,
b1g_8XwiAQ81HSby,STATE,esriFieldTypeString,,Census 2-digit FIPS State Code,,,
b1g_8XwiAQ81HSby,STUSAB,esriFieldTypeString,,State Abbreviation,,,
b1g_8XwiAQ81HSby,NAME,esriFieldTypeString,,Name of State,,,
b1g_8XwiAQ81HSby,T2_EST1,esriFieldTypeDouble,,Total: Occupied housing units,,,
b1g_8XwiAQ81HSby,T8_EST69,esriFieldTypeDouble,,Renter occupied AND household income is less than or equal to 30% of HAMFI,,,
b1g_8XwiAQ81HSby,T8_EST82,esriFieldTypeInteger,,Renter occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI,,,
b1g_8XwiAQ81HSby,T8_EST95,esriFieldTypeDouble,,Renter occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI,,,
b1g_8XwiAQ81HSby,T8_EST108,esriFieldTypeInteger,,Renter occupied AND household income is greater than 80% but less than or equal to 100% of HAMFI,,,
b1g_8XwiAQ81HSby,T8_EST68,esriFieldTypeDouble,,Renter occupied,,,
b1g_8XwiAQ81HSby,T8_EST3,esriFieldTypeInteger,,Owner occupied AND household income is less than or equal to 30% of HAMFI,,,
b1g_8XwiAQ81HSby,T8_EST16,esriFieldTypeInteger,,Owner occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI,,,
b1g_8XwiAQ81HSby,T8_EST29,esriFieldTypeDouble,,Owner occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI,,,
b1g_8XwiAQ81HSby,T8_EST42,esriFieldTypeInteger,,Owner occupied AND household income is greater than 80% but less than or equal to 100% of HAMFI,,,
b1g_8XwiAQ81HSby,T8_EST2,esriFieldTypeDouble,,Owner occupied,,,
b1g_8XwiAQ81HSby,T3_EST47,esriFieldTypeInteger,,Renter occupied AND lacking complete plumbing or kitchen facilities AND household income is less than or equal to 30% of HAMFI,,,
b1g_8XwiAQ81HSby,T3_EST48,esriFieldTypeInteger,,Renter occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 30% but less than or equal to 50% of HAMFI,,,
b1g_8XwiAQ81HSby,T3_EST49,esriFieldTypeInteger,,Renter occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 50% but less than or equal to 80% of HAMFI,,,
b1g_8XwiAQ81HSby,T3_EST50,esriFieldTypeInteger,,Renter occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 80% but less than or equal to 100% of HAMFI,,,
b1g_8XwiAQ81HSby,T3_EST46,esriFieldTypeInteger,,Renter occupied AND lacking complete plumbing or kitchen facilities,,,
b1g_8XwiAQ81HSby,T3_EST4,esriFieldTypeInteger,,Owner occupied AND lacking complete plumbing or kitchen facilities AND household income is less than or equal to 30% of HAMFI,,,
b1g_8XwiAQ81HSby,T3_EST5,esriFieldTypeInteger,,Owner occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 30% but less than or equal to 50% of HAMFI,,,
b1g_8XwiAQ81HSby,T3_EST6,esriFieldTypeInteger,,Owner occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 50% but less than or equal to 80% of HAMFI,,,
b1g_8XwiAQ81HSby,T3_EST7,esriFieldTypeInteger,,Owner occupied AND lacking complete plumbing or kitchen facilities AND household income is greater than 80% but less than or equal to 100% of HAMFI,,,
b1g_8XwiAQ81HSby,T3_EST3,esriFieldTypeInteger,,Owner occupied AND lacking complete plumbing or kitchen facilities,,,
b1g_8XwiAQ81HSby,T3_EST53,esriFieldTypeInteger,,"Renter occupied AND with more than 1.5 persons per room, None of the needs above AND household income is less than or equal to 30% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST54,esriFieldTypeInteger,,"Renter occupied AND with more than 1.5 persons per room, None of the needs above AND household income is greater than 30% but less than or equal to 50% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST55,esriFieldTypeInteger,,"Renter occupied AND with more than 1.5 persons per room, None of the needs above AND household income is greater than 50% but less than or equal to 80% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST56,esriFieldTypeInteger,,"Renter occupied AND with more than 1.5 persons per room, None of the needs above AND household income is greater than 80% but less than or equal to 100% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST52,esriFieldTypeInteger,,"Renter occupied AND with more than 1.5 persons per room, None of the needs above",,,
