friendlier_id,field_name,field_type,values,definition,definition_source
CENTERLINE.shp,L_F_ADD,float64,,,
CENTERLINE.shp,R_F_ADD,float64,,,
CENTERLINE.shp,L_T_ADD,float64,,,
CENTERLINE.shp,R_T_ADD,float64,,,
CENTERLINE.shp,STREETALL,object,,,
CENTERLINE.shp,F_CLASS,object,,,
CENTERLINE.shp,ALT_NAM1,object,,,
CENTERLINE.shp,ALT_NAM2,object,,,
CENTERLINE.shp,ZIP5_L,float64,,,
CENTERLINE.shp,ZIP5_R,float64,,,
CENTERLINE.shp,CITYLEFT,object,,,
CENTERLINE.shp,CITYRIGT,object,,,
CENTERLINE.shp,PREDIR,object,,,
CENTERLINE.shp,STREETNAME,object,,,
CENTERLINE.shp,TYPE,object,,,
CENTERLINE.shp,SUFDIR,object,,,
CENTERLINE.shp,SPEED_LIM,int32,,,
CENTERLINE.shp,HIGHWAY_NU,object,,,
CENTERLINE.shp,ALT_ID,float64,,,
CENTERLINE.shp,GBSID,float64,,,
CENTERLINE.shp,COUNTYRIGT,object,,,
CENTERLINE.shp,COUNTYLEFT,object,,,
CENTERLINE.shp,ONEWAY,object,,,
CENTERLINE.shp,MSLINK,float64,,,
CENTERLINE.shp,DESIGNATIO,int32,,,
CENTERLINE.shp,F_XSTREET_,object,,,
CENTERLINE.shp,F_XSTREET1,object,,,
CENTERLINE.shp,F_XSTREE_1,object,,,
CENTERLINE.shp,T_XSTREET_,object,,,
CENTERLINE.shp,T_XSTREET1,object,,,
CENTERLINE.shp,T_XSTREE_1,object,,,
CENTERLINE.shp,SHAPE_LEN,float64,,,
CENTERLINE.shp,geometry,geometry,,,
