friendlier_id,field_name,field_type,values,definition,definition_source
PARK.shp,OBJECTID,int64,,,
PARK.shp,INT_REFNO,float64,,,
PARK.shp,PREFIX,object,,,
PARK.shp,UDI,object,,,
PARK.shp,SYMBOL_NAM,object,,,
PARK.shp,REFNO,object,,,
PARK.shp,PARENT,object,,,
PARK.shp,SYMBOL_NUM,float64,,,
PARK.shp,WID,float64,,,
PARK.shp,GEOM_AREA,float64,,,
PARK.shp,GEOM_LEN,float64,,,
PARK.shp,PARK_NAME1,object,,,
PARK.shp,PARK_NAME2,object,,,
PARK.shp,PARK_PARK3,object,,,
PARK.shp,GBS_PARK_A,float64,,,
PARK.shp,PERIMETER,float64,,,
PARK.shp,ACRES,float64,,,
PARK.shp,REGIONAL,object,,,
PARK.shp,SHAPE_LENG,float64,,,
PARK.shp,SHAPE_AREA,float64,,,
PARK.shp,SHAPE_LEN,float64,,,
PARK.shp,geometry,geometry,,,
