old_name,new_name
ACS-ED_2013-2017_Children-Enrolled_Public%3A_Demographic_Characteristics_(CDP05),edge_acs-ed_children-enrolled_public__demographic_characteristics_cdp05_2013-2017
ACS-ED_2013-2017_Children-Enrolled_Public%3A_Economic_Characteristics_(CDP03),edge_acs-ed_children-enrolled_public__economic_characteristics_cdp03_2013-2017
ACS-ED_2013-2017_Children-Enrolled_Public%3A_Housing_Characteristics_(CDP04),edge_acs-ed_children-enrolled_public__housing_characteristics_cdp04_2013-2017
ACS-ED_2013-2017_Children-Enrolled_Public%3A_Social_Characteristics_(CDP02),edge_acs-ed_children-enrolled_public__social_characteristics_cdp02_2013-2017
ACS-ED_2013-2017_Total_Population%3A_Demographic_Characteristics_(DP05),edge_acs-ed_total_population__demographic_characteristics_dp05_2013-2017
ACS-ED_2013-2017_Total_Population%3A_Economic_Characteristics_(DP03),edge_acs-ed_total_population__economic_characteristics_dp03_2013-2017
ACS-ED_2013-2017_Total_Population%3A_Housing_Characteristics_(DP04),edge_acs-ed_total_population__housing_characteristics_dp04_2013-2017
ACS-ED_2013-2017_Total_Population%3A_Social_Characteristics_(DP02),edge_acs-ed_total_population__social_characteristics_dp02_2013-2017
ACS-ED_2014-2018_Children-Enrolled_Public%3A_Demographic_Characteristics_(CDP05),edge_acs-ed_children-enrolled_public__demographic_characteristics_cdp05_2014-2018
ACS-ED_2014-2018_Children-Enrolled_Public%3A_Economic_Characteristics_(CDP03),edge_acs-ed_children-enrolled_public__economic_characteristics_cdp03_2014-2018
ACS-ED_2014-2018_Children-Enrolled_Public%3A_Housing_Characteristics_(CDP04),edge_acs-ed_children-enrolled_public__housing_characteristics_cdp04_2014-2018
ACS-ED_2014-2018_Children-Enrolled_Public%3A_Social_Characteristics_(CDP02),edge_acs-ed_children-enrolled_public__social_characteristics_cdp02_2014-2018
ACS-ED_2014-2018_Total_Population%3A_Economic_Characteristics_(DP03),edge_acs-ed_total_population__economic_characteristics_dp03_2014-2018
ACS-ED_2014-2018_Total_Population%3A_Housing_Characteristics_(DP04),edge_acs-ed_total_population__housing_characteristics_dp04_2014-2018
ACS-ED_2014-2018_Total_Population%3A_Social_Characteristics_(DP02),edge_acs-ed_total_population__social_characteristics_dp02_2014-2018
EDGE_GEOCODE_POSTSECONDARYSCH_CURRENT,edge_postsecondary_school_locations_2025
EDGE_LOCALE14_NCES_ALL_US,edge_locales_2014
EDGE_LOCALE15_NCES_ALL_US,edge_locales_2015
edge_locale16_nces_all_us,edge_locales_2016
edge_locale17_nces_all_us,edge_locales_2017
edge_locale18_nces_all_us,edge_locales_2018
edge_locale21_nces_all_us,edge_locales_2021
EDGE_Locale23_US,edge_locales_2023
EDGE_LOCALE_CURRENT,edge_locales_2024
Locales_2019,edge_locales_2019
Postsecondary_School_Locations_2015-16,edge_postsecondary_school_locations_2015-2016
Postsecondary_School_Locations_2016-17,edge_postsecondary_school_locations_2016-2017
Postsecondary_School_Locations_2017-18,edge_postsecondary_school_locations_2017-2018
Postsecondary_School_Locations_2018-19,edge_postsecondary_school_locations_2018-2019
Postsecondary_School_Locations_2019-20,edge_postsecondary_school_locations_2019-2020
Postsecondary_School_Locations_2020-21,edge_postsecondary_school_locations_2020-2021
Postsecondary_School_Locations_2022-23,edge_postsecondary_school_locations_2022-2023
Postsecondary_School_Locations_2023-24,edge_postsecondary_school_locations_2023-2024
Private_School_Locations_-_Current,edge_private_school_locations_2024
Private_School_Locations_2015-16,edge_private_school_locations_2015
Private_School_Locations_2017-18,edge_private_school_locations_2017
Private_School_Locations_2019-20,edge_private_school_locations_2019
Private_School_Locations_2021-22,edge_private_school_locations_2021
Public_School_Characteristics_-_Current,edge_public_school_characteristics_2025
Public_School_Characteristics_2017-18,edge_public_school_characteristics_2017
Public_School_Characteristics_2018-19,edge_public_school_characteristics_2018
Public_School_Characteristics_2020-21,edge_public_school_characteristics_2020
Public_School_Characteristics_2021-22,edge_public_school_characteristics_2021
Public_School_Characteristics_2022-23,edge_public_school_characteristics_2022
Public_School_Locations_-_Current,edge_public_school_locations_2025
Public_School_Locations_2015-16,edge_public_school_locations_2015
Public_School_Locations_2016-17,edge_public_school_locations_2016
Public_School_Locations_2017-18,edge_public_school_locations_2017
Public_School_Locations_2018-19,edge_public_school_locations_2018
Public_School_Locations_2019-20,edge_public_school_locations_2019
Public_School_Locations_2021-22,edge_public_school_locations_2021
Public_School_Locations_2022-23_,edge_public_school_locations_2022
Public_School_Locations_2023-24,edge_public_school_locations_2023
School_Attendance_Boundary_Survey_2013-2014,edge_school_attendance_boundary_survey_2013-2014
School_Attendance_Boundary_Survey_2015-2016,edge_school_attendance_boundary_survey_2015-2016
School_District_Boundaries_-_Current,edge_school_district_boundaries_2025
School_District_Characteristics_-_Current,edge_school_district_characteristics_2025
School_District_Characteristics_2017-18,edge_school_district_characteristics_2017
School_District_Characteristics_2018-19,edge_school_district_characteristics_2018
School_District_Characteristics_2019-20,edge_school_district_characteristics_2019
School_District_Characteristics_2020-21,edge_school_district_characteristics_2020
School_District_Characteristics_2021-22,edge_school_district_characteristics_2021
School_District_Characteristics_2022-23,edge_school_district_characteristics_2022
School_District_Composites_SY_2013-14_TL_14,edge_school_district_composites_tl_14_2013
School_District_Composites_SY_2013-14_TL_15,edge_school_district_composites_tl_15_2013
School_District_Composites_SY_2015-16_TL_16,edge_school_district_composites_tl_16_2015
School_District_Composites_SY_2015-16_TL_17,edge_school_district_composites_tl_17_2015
School_District_Composites_SY_2017-18_TL_18,edge_school_district_composites_tl_18_2017
School_District_Composites_SY_2018-19_TL_19,edge_school_district_composites_tl_19_2018
School_District_Composites_SY_2019-20_TL_20,edge_school_district_composites_tl_20_2019
School_District_Composites_SY_2020-21_TL_21,edge_school_district_composites_tl_21_2020
School_District_Composites_SY_2021-22_TL_22,edge_school_district_composites_tl_22_2021
School_District_Composites_SY_2022-23_TL_23,edge_school_district_composites_tl_23_2022
School_District_Composites_SY_2023-24_TL_24,edge_school_district_composites_tl_24_2023
School_District_Office_Locations_-_Current,edge_school_district_office_locations_2025
School_District_Office_Locations_2015-16,edge_school_district_office_locations_2015
School_District_Office_Locations_2016-17,edge_school_district_office_locations_2016
School_District_Office_Locations_2017-18,edge_school_district_office_locations_2017
School_District_Office_Locations_2018-19,edge_school_district_office_locations_2018
School_District_Office_Locations_2019-20,edge_school_district_office_locations_2019
School_District_Office_Locations_2020-21,edge_school_district_office_locations_2020
School_District_Office_Locations_2021-22,edge_school_district_office_locations_2021
School_District_Office_Locations_2022-23_,edge_school_district_office_locations_2022
School_District_Office_Locations_2023-24,edge_school_district_office_locations_2023
School_Neighborhood_Poverty_Estimates%2C_2015-16,edge_school_neighborhood_poverty_estimates_2015
School_Neighborhood_Poverty_Estimates%2C_2016-17,edge_school_neighborhood_poverty_estimates_2016
School_Neighborhood_Poverty_Estimates%2C_2018-19,edge_school_neighborhood_poverty_estimates_2018
School_Neighborhood_Poverty_Estimates%2C_2020-21,edge_school_neighborhood_poverty_estimates_2020
School_Neighborhood_Poverty_Estimates%2C_2021-22,edge_school_neighborhood_poverty_estimates_2021
School_Neighborhood_Poverty_Estimates_-_Current,edge_school_neighborhood_poverty_estimates_2025
