friendlier_id,output_filename,service_url
b1g_joGbEOvFDroC,hud_acs_5yr_chas_estimate_data_by_county_2016-2020.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/ACS_5YR_CHAS_Estimate_Data_by_County/FeatureServer/4
b1g_8XwiAQ81HSby,hud_acs_5yr_chas_estimate_data_by_state_2016-2020.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/ACS_5YR_CHAS_Estimate_Data_by_State/FeatureServer/2
b1g_l0sQenyXjEjw,hud_colonias_communities_2019.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/COLONIAS_COMMUNITIES/FeatureServer/2
b1g_MfueaCdYss1f,hud_deteriorated_paint_index_state_2009-2013.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/Deteriorated_Paint_Index_State/FeatureServer/1
b1g_wUDubBlr1e8v,hud_difficult_development_areas_2025.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/Difficult_Development_Areas/FeatureServer/0
b1g_QNNfxYSYkd9L,hud_empowerment_zones_and_enterprise_communities_2014.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/Empowerment_Zones_and_Enterprise_Communities/FeatureServer/3
b1g_wopJKElRzaab,hud_low_poverty_index_2020.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/Low_Poverty_Index/FeatureServer/20
b1g_bGwyO4Rz43gY,hud_low_vacancy_areas_set_aside_tenant_protection_vouchers_2024-2025.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/Low_Vacancy_Areas_Set_Aside_Tenant_Protection_Vouchers/FeatureServer/0
b1g_RrXTt5Qg6Peh,hud_multifamily_properties_assisted_2025.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/MULTIFAMILY_PROPERTIES_ASSISTED/FeatureServer/0
b1g_lihPr4diih2e,hud_racially_or_ethnically_concentrated_areas_of_poverty_2017.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/Racially_or_Ethnically_Concentrated_Areas_of_Poverty/FeatureServer/15
b1g_WQhpWDnbb16E,hud_racially_or_ethnically_concentrated_areas_of_poverty_2017-2021.gpkg,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/Racially_or_Ethnically_Concentrated_Areas_of_Poverty_2020/FeatureServer/16
