name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
STREETCL_,Real,0,0,True,,,,,,
SUBTYPE,String,8,0,True,,,,,,
SYMBOL,Integer,0,0,True,,,,,,
L_F_ADD,Integer,0,0,True,,,,,,
L_T_ADD,Integer,0,0,True,,,,,,
R_F_ADD,Integer,0,0,True,,,,,,
R_T_ADD,Integer,0,0,True,,,,,,
PRE_DIR,String,4,0,True,,,,,,
ST_NAME,String,36,0,True,,,,,,
ST_TYPE,String,6,0,True,,,,,,
SUF_DIR,String,4,0,True,,,,,,
ZIPL,String,7,0,True,,,,,,
ZIP_EXTL,String,3,0,True,,,,,,
ZIPR,String,7,0,True,,,,,,
ZIP_EXTR,String,3,0,True,,,,,,
ONEWAY,Integer,0,0,True,,,,,,
SUFF_TYPE,String,8,0,True,,,,,,
SUFF_ID,Integer,0,0,True,,,,,,
SUFF_MAT,String,14,0,True,,,,,,
IDNUM,Integer,0,0,True,,,,,,
CFCC,String,5,0,True,,,,,,
FIRE_L,String,7,0,True,,,,,,
FIRE_R,String,7,0,True,,,,,,
POLICE_L,String,8,0,True,,,,,,
POLICE_R,String,8,0,True,,,,,,
EMS_R,String,9,0,True,,,,,,
EMS_L,String,9,0,True,,,,,,
FULLNAME,String,37,0,True,,,,,,
BLOCKTEXT,String,50,0,True,,,,,,
Shape_Leng,Real,0,0,True,,,,,,
Shape_Length,Real,0,0,True,FILEGEODATABASE_SHAPE_LENGTH,,,,,
