name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
AREA_NAME,String,75,0,True,,,,,,
CNTCT_NME,String,50,0,True,,,,,,
CNTCT_PHN,String,25,0,True,,,,,,
CNTCT_EML,String,75,0,True,,,,,,
CNTCT_ADDR,String,50,0,True,,,,,,
CNTCT_CITY,String,25,0,True,,,,,,
CNTCT_ZIP,String,10,0,True,,,,,,
totalPop,Real,0,0,True,,,,,,
White,Real,0,0,True,,,,,,
blackAfAm,Real,0,0,True,,,,,,
AIAN,Real,0,0,True,,,,,,
Asian,Real,0,0,True,,,,,,
NHPI,Real,0,0,True,,,,,,
Other,Real,0,0,True,,,,,,
hispanicLa,Real,0,0,True,,,HispanicLat,,,
TwoOrMore,Real,0,0,True,,,,,,
URL,String,256,0,True,,,,,,
Shape_Length,Real,0,0,True,FILEGEODATABASE_SHAPE_LENGTH,,,,,
Shape_Area,Real,0,0,True,FILEGEODATABASE_SHAPE_AREA,,,,,
