name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
Name,String,254,0,True,,,,,,
Population,Integer,0,0,True,,,,,,
White,Integer,0,0,True,,,,,,
Blk_AfAm,Integer,0,0,True,,,,,,
AmInd_AkNa,Integer,0,0,True,,,,,,
Asian,Integer,0,0,True,,,,,,
NatHaw_Pac,Integer,0,0,True,,,,,,
Other_Race,Integer,0,0,True,,,,,,
TwoOrMore,Integer,0,0,True,,,,,,
Hisp_Lat,Integer,0,0,True,,,,,,
Male,Integer,0,0,True,,,,,,
Female,Integer,0,0,True,,,,,,
Total_Units,Integer,0,0,True,,,,,,
Occ_Occupied,Integer,0,0,True,,,,,,
Occ_Vacant,Integer,0,0,True,,,,,,
Tenure_Owner,Integer,0,0,True,,,,,,
Tenure_Renter,Integer,0,0,True,,,,,,
Vacant_ForRent,Integer,0,0,True,,,,,,
Vacant_ForSale,Integer,0,0,True,,,,,,
Vacant_Other_All,Integer,0,0,True,,,,,,
HH_Total,Integer,0,0,True,,,,,,
HH_Family,Integer,0,0,True,,,,,,
HH_Married,Integer,0,0,True,,,,,,
HH_OtherFamily,Integer,0,0,True,,,,,,
HH_Male_NoSpouse,Integer,0,0,True,,,,,,
HH_Female_NoSpouse,Integer,0,0,True,,,,,,
HH_NonFamily,Integer,0,0,True,,,,,,
HH_NonFamilyAlone,Integer,0,0,True,,,,,,
HH_NonFamilyNotAlone,Integer,0,0,True,,,,,,
HH18_With18,Integer,0,0,True,,,,,,
HH18_FamilyWith18,Integer,0,0,True,,,,,,
HH18_NonFamilyWith18,Integer,0,0,True,,,,,,
HH18_No18,Integer,0,0,True,,,,,,
HH18_FamilyNo18,Integer,0,0,True,,,,,,
HH18_NonFamilyNo18,Integer,0,0,True,,,,,,
Age_U5,Integer,0,0,True,,,,,,
Age_5_9,Integer,0,0,True,,,,,,
Age_10_14,Integer,0,0,True,,,,,,
Age_15_17,Integer,0,0,True,,,,,,
Age_18_21,Integer,0,0,True,,,,,,
Age_22_24,Integer,0,0,True,,,,,,
Age_25_29,Integer,0,0,True,,,,,,
Age_30_34,Integer,0,0,True,,,,,,
Age_35_39,Integer,0,0,True,,,,,,
Age_40_44,Integer,0,0,True,,,,,,
Age_45_49,Integer,0,0,True,,,,,,
Age_50_54,Integer,0,0,True,,,,,,
Age_55_59,Integer,0,0,True,,,,,,
Age_60_64,Integer,0,0,True,,,,,,
Age_65_69,Integer,0,0,True,,,,,,
Age_70_74,Integer,0,0,True,,,,,,
Age_75_79,Integer,0,0,True,,,,,,
Age_80_84,Integer,0,0,True,,,,,,
Age_85up,Integer,0,0,True,,,,,,
Med_Age,Real,0,0,True,,,,,,
Med_Age_Male,Real,0,0,True,,,,,,
Med_Age_Female,Real,0,0,True,,,,,,
GlobalID,String,0,0,False,,,,,,
Shape_Length,Real,0,0,True,FILEGEODATABASE_SHAPE_LENGTH,,,,,
Shape_Area,Real,0,0,True,FILEGEODATABASE_SHAPE_AREA,,,,,
