name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
ZONE_NO,Integer,0,0,True,,,,,,
AREA_NO,Integer,0,0,True,,,,,,
RTID,String,8,0,True,,,,,,
YARD_ID,Integer,0,0,True,,,,,,
Zone_,String,5,0,True,,,,,,
INSP_LINKP,String,5,0,True,,,,,,
INSP_LINKS,String,5,0,True,,,,,,
AGENCY,String,9,0,True,,,,,,
YARD_NAME,String,25,0,True,,,,,,
Y_ADDRESS,String,50,0,True,,,,,,
Y_PHONE,String,13,0,True,,,,,,
GlobalID,String,0,0,False,,,,,,
URL,String,100,0,True,,,,,,
PASS,Integer,0,0,True,,,,,,
Shape_Length,Real,0,0,True,FILEGEODATABASE_SHAPE_LENGTH,,,,,
Shape_Area,Real,0,0,True,FILEGEODATABASE_SHAPE_AREA,,,,,
