name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
PIN,String,9,0,True,,,,,,
PINRELATE,String,15,0,True,,,,,,
BLOCKLOT,String,9,0,True,,,,,,
BLOCK,String,5,0,True,,,,,,
LOT,String,4,0,True,,,,,,
WARD,String,2,0,True,,,,,,
SECTION,String,3,0,True,,,,,,
ASSESSOR,String,3,0,True,,,Assessor Number,,,
TAXBASE,Integer,0,0,True,,,Tax Base Value,,,
BFCVLAND,Integer,0,0,True,,,Base Full Cash Land Value,,,
BFCVIMPR,Integer,0,0,True,,,Base Full Cash Improvement,,,
LANDEXMP,Integer,0,0,True,,,Base Full Cash Exempt Land,,,
IMPREXMP,Integer,0,0,True,,,Base Full Cash Exempt Improvement,,,
CITYCRED,Real,0,0,True,,,City Tax Credit,,,
STATCRED,Real,0,0,True,,,State Tax Credit,,,
CCREDAMT,Real,0,0,True,,,City Assessment Credit,,,
SCREDAMT,Real,0,0,True,,,State  Assessment Credit,,,
PERMHOME,String,1,0,True,,,Permanent Home Indicator,,,
ASSESGRP,String,1,0,True,,,Assessment Group,,,
LOT_SIZE,String,18,0,True,,,Lot Size,,,
NO_IMPRV,String,1,0,True,,,,,,
CURRLAND,Integer,0,0,True,,,Current Full Cash Land,,,
CURRIMPR,Integer,0,0,True,,,Current Full Cash Improvement,,,
EXMPLAND,Integer,0,0,True,,,Current Full Cash Exempt Land,,,
EXMPIMPR,Integer,0,0,True,,,Current Full Cash Exempt Improvement,,,
FULLCASH,Real,0,0,True,,,Current Full Cash,,,
EXMPTYPE,String,1,0,True,,,Exempt Type City or State,,,
EXMPCODE,String,2,0,True,,,State Exempt Code,,,
USEGROUP,String,2,0,True,,,Land Use Code Group,,,
ZONECODE,String,5,0,True,,,Zoning Code,,,
SDATCODE,String,5,0,True,,,SDAT Land Use Code,,,
ARTAXBAS,Integer,0,0,True,,,A/R Tax Base,,,
DISTSWCH,String,1,0,True,,,Downtown Mgt. District,,,
DIST_ID,String,1,0,True,,,Downtown Mgt. District ID,,,
STATETAX,Real,0,0,True,,,State Tax  Amount,,,
CITY_TAX,Real,0,0,True,,,City Tax Amount,,,
AR_OWNER,String,1,0,True,,,A/R Homeowner Indicator,,,
DEEDBOOK,String,8,0,True,,,Book Number for Deed,,,
DEEDPAGE,String,4,0,True,,,Page Number for Deed,,,
SALEDATE,String,8,0,True,,,Date of Sale or Transfer,,,
OWNER_ABBR,String,7,0,True,,,,,,
OWNER_1,String,33,0,True,,,Property Owner 1,,,
OWNER_2,String,33,0,True,,,Property Owner 2,,,
OWNER_3,String,33,0,True,,,Property Owner 3,,,
FULLADDR,String,48,0,True,,,Full Address of Property,,,
STDIRPRE,String,1,0,True,,,Property Street Direction,,,
ST_NAME,String,25,0,True,,,,,,
ST_TYPE,String,4,0,True,,,,,,
BLDG_NO,Integer,0,0,True,,,,,,
FRACTION,String,3,0,True,,,,,,
UNIT_NUM,String,6,0,True,,,,,,
SPAN_NUM,Integer,0,0,True,,,,,,
SPANFRAC,String,1,0,True,,,,,,
ZIP_CODE,String,5,0,True,,,Property Zip Code,,,
EXTD_ZIP,String,4,0,True,,,,,,
DHCDUSE1,String,4,0,True,,,DHCD Land Use Code 1,,,
DHCDUSE2,String,4,0,True,,,DHCD Land Use Code 2,,,
DHCDUSE3,String,4,0,True,,,DHCD Land Use Code 3,,,
DHCDUSE4,String,4,0,True,,,DHCD Land Use Code 4,,,
DWELUNIT,Integer,0,0,True,,,DHCD Number of Dwelling,,,
EFF_UNIT,Integer,0,0,True,,,DHCD Number of Efficiency,,,
ROOMUNIT,Integer,0,0,True,,,,,,
RPDELTAG,String,1,0,True,,,,,,
RESPAGCY,String,2,0,True,,Responsible Agency,Responsible Agency,,,
SALEPRIC,Integer,0,0,True,,,Property Sale Price,,,
PROPDESC,String,25,0,True,,,Property Description,,,
NEIGHBOR,String,41,0,True,,,Neighborhood,,,
SRVCCNTR,String,1,0,True,,,Neighborhood Service,,,
YEAR_BUILD,Integer,0,0,True,,,Year Built,,,
STRUCTAREA,Integer,0,0,True,,,,,,
LDATE,String,8,0,True,,,Last Update,,,
OWNMDE,String,1,0,True,,,Ownership Mode,,,
GRNDRENT,Integer,0,0,True,,,Annual Ground Rent,,,
SUBTYPE_GEODB,Integer,0,0,True,1,,Parcel Subtype,,,
SDATLINK,String,255,0,True,,,SDAT Link,,,
BLOCKPLAT,String,255,0,True,,,,,,
MAILTOADD,String,255,0,True,,,Mailing Address,,,
VACIND,String,255,0,True,,,Vacant Indicator,,,
Shape_Length,Real,0,0,True,FILEGEODATABASE_SHAPE_LENGTH,,,,,
Shape_Area,Real,0,0,True,FILEGEODATABASE_SHAPE_AREA,,,,,
