name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
ZONE_NO,Integer,0,0,True,,,,,,
AREA_NO,Integer,0,0,True,,,,,,
ISSUE_NO,Integer,0,0,True,,,,,,
AREA_,Real,0,0,True,,,,,,
PERIMETER,Real,0,0,True,,,,,,
ACRES,Real,0,0,True,,,,,,
RTID,String,8,0,True,,,,,,
Inspected,String,2,0,True,,,,,,
AGENCY,String,9,0,True,,,,,,
YARD_NAME,String,29,0,True,,,,,,
Y_ADDRESS,String,50,0,True,,,,,,
Y_PHONE,String,13,0,True,,,,,,
URL,String,100,0,True,,,,,,
PASS,Integer,0,0,True,,,,,,
CMPNY,String,150,0,True,,,,,,
CNTCT1,String,150,0,True,,,,,,
CNTCT2,String,150,0,True,,,,,,
CNTCT3,String,150,0,True,,,,,,
CNTCT4,String,150,0,True,,,,,,
Shape_Length,Real,0,0,True,FILEGEODATABASE_SHAPE_LENGTH,,,,,
Shape_Area,Real,0,0,True,FILEGEODATABASE_SHAPE_AREA,,,,,
