name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
edit_date,DateTime,0,0,True,,,,,,
fraddl,Integer,0,0,True,,,,,,
toaddl,Integer,0,0,True,,,,,,
fraddr,Integer,0,0,True,,,,,,
toaddr,Integer,0,0,True,,,,,,
parity_l,String,1,0,True,,,,,,
parity_r,String,1,0,True,,,,,,
dirpre,String,2,0,True,,,,,,
feanme,String,75,0,True,,,,,,
featype,String,4,0,True,,,,,,
dirsuf,String,2,0,True,,,,,,
country_l,String,2,0,True,,,,,,
country_r,String,2,0,True,,,,,,
state_l,String,2,0,True,,,,,,
state_r,String,2,0,True,,,,,,
county_l,String,40,0,True,,,,,,
county_r,String,40,0,True,,,,,,
incmuni_l,String,100,0,True,,,,,,
incmuni_r,String,100,0,True,,,,,,
leftzip,String,7,0,True,,,,,,
rightzip,String,7,0,True,,,,,,
external_nguid,String,300,0,True,,,,,,
cline_id,String,8,0,True,,,,,,
tag,String,15,0,True,,,,,,
last_org,String,3,0,True,,,,,,
capture_method,String,4,0,True,,,,,,
edit_type,String,2,0,True,,,,,,
subtype,String,6,0,True,,,,,,
feat_status,String,1,0,True,,,,,,
fr_street,String,100,0,True,,,,,,
to_street,String,100,0,True,,,,,,
travel_direction,String,1,0,True,,,,,,
fr_speed_limit,Integer,0,0,True,,,,,,
to_speed_limit,Integer,0,0,True,,,,,,
fraddla,Integer,0,0,True,,,,,,
toaddla,Integer,0,0,True,,,,,,
fraddra,Integer,0,0,True,,,,,,
toaddra,Integer,0,0,True,,,,,,
city_code,String,2,0,True,,,,,,
id_prefix,String,2,0,True,,,,,,
id_rte_no,Integer,0,0,True,,,,,,
routeid_sha,String,32,0,True,,,,,,
tsd_id,Integer,0,0,True,,,,,,
sha_class,String,4,0,True,,,,,,
func_class,String,4,0,True,,,,,,
route_type,String,2,0,True,,,,,,
route_number,String,5,0,True,,,,,,
miles,Real,0,0,True,,,,,,
block_num,String,4,0,True,,,,,,
blocktext,String,50,0,True,,,,,,
flag,String,10,0,True,,,,,,
evac_route,String,1,0,True,,,,,,
comments,String,255,0,True,,,,,,
drivable,String,1,0,True,,,,,,
geofile_2d,String,1,0,True,,,,,,
docpopurl,String,250,0,True,,,,,,
RCL_Appendix_external_nguid,String,50,0,True,,,external_nguid,,,
stcl_ALIAS_external_nguid,String,50,0,True,,,external_nguid,,,
stcl_ALIAS_cline_id,String,8,0,True,,,CLINE_ID,,,
stcl_ALIAS_tag,String,15,0,True,,,TAG,,,
alias_name,String,50,0,True,,,,,,
alias_1,String,50,0,True,,,,,,
alias_2,String,50,0,True,,,,,,
alias_3,String,50,0,True,,,,,,
stcl_DOT_BASIC_external_nguid,String,50,0,True,,,external_nguid,,,
stcl_DOT_BASIC_cline_id,String,8,0,True,,,CLINE_ID,,,
stcl_DOT_BASIC_tag,String,15,0,True,,,TAG,,,
percent_grade,Real,0,0,True,,,,,,
from_intersection_id,String,15,0,True,,,,,,
to_intersection_id,String,15,0,True,,,,,,
transport_sector,String,2,0,True,,,,,,
official_street_designation,String,3,0,True,,,,,,
street_ownership,String,3,0,True,,,,,,
street_maintenance,String,3,0,True,,,,,,
sha_id,String,255,0,True,,,,,,
traffic_count_aadt,Integer,0,0,True,,,,,,
traffic_count_year,Integer,0,0,True,,,,,,
stcl_DOT_PROFILE_external_nguid,String,50,0,True,,,external_nguid,,,
stcl_DOT_PROFILE_cline_id,String,8,0,True,,,CLINE_ID,,,
stcl_DOT_PROFILE_tag,String,15,0,True,,,TAG,,,
row_width,Real,0,0,True,,,,,,
street_width,Real,0,0,True,,,,,,
lane_count,Integer,0,0,True,,,,,,
median_present,String,1,0,True,,,,,,
median_type,String,1,0,True,,,,,,
median_turn_lane_present,String,1,0,True,,,,,,
shoulder_present,String,4,0,True,,,,,,
ft_shoulder_type,String,50,0,True,,,,,,
ft_shoulder_width,Real,0,0,True,,,,,,
tf_shoulder_type,String,50,0,True,,,,,,
tf_shoulder_width,Real,0,0,True,,,,,,
stcl_EGIS_SNOW_external_nguid,String,50,0,True,,,external_nguid,,,
stcl_EGIS_SNOW_cline_id,String,8,0,True,,,CLINE_ID,,,
stcl_EGIS_SNOW_tag,String,15,0,True,,,TAG,,,
snowrt_type,String,1,0,True,,,,,,
snowrt_class,Integer,0,0,True,,,,,,
zone_no,Integer,0,0,True,,,,,,
area_no,Integer,0,0,True,,,,,,
overlay_zn,Integer,0,0,True,,,,,,
overlay_rt,String,1,0,True,,,,,,
snwemrte,String,1,0,True,,,,,,
timeres_1_snwemrte,String,50,0,True,,,,,,
timeres_2_snwemrte,String,50,0,True,,,,,,
tandem_rte,String,1,0,True,,,,,,
new_rte_cla,Integer,0,0,True,,,,,,
recordid,Integer,0,0,True,,,,,,
new_rte_type,Integer,0,0,True,,,,,,
rtid,String,10,0,True,,,,,,
stcl_MAVERICK_external_nguid,String,50,0,True,,,external_nguid,,,
stcl_MAVERICK_cline_id,String,8,0,True,,,CLINE_ID,,,
stcl_MAVERICK_tag,String,15,0,True,,,TAG,,,
city_l,String,3,0,True,,,,,,
city_r,String,3,0,True,,,,,,
map_l,String,10,0,True,,,,,,
map_r,String,10,0,True,,,,,,
lim_access,String,1,0,True,,,,,,
lar_dir,String,2,0,True,,,,,,
ft_cost,Real,0,0,True,,,,,,
tf_cost,Real,0,0,True,,,,,,
f_elev,Integer,0,0,True,,,,,,
t_elev,Integer,0,0,True,,,,,,
oneway,String,2,0,True,,,,,,
speed,Integer,0,0,True,,,,,,
lowlarrel,String,120,0,True,,,,,,
highlarrel,String,120,0,True,,,,,,
prd_l,String,10,0,True,,,PoliceArea_L,,,
prd_r,String,10,0,True,,,PoliceArea_R,,,
frd_l,String,10,0,True,,,FireArea_L,,,
frd_r,String,10,0,True,,,FireArea_R,,,
p_mod_lft,String,10,0,True,,,,,,
p_mod_rt,String,10,0,True,,,,,,
f_mod_lft,String,10,0,True,,,,,,
f_mod_rt,String,10,0,True,,,,,,
adc_map,String,8,0,True,,,,,,
cad_feaname,String,37,0,True,,,,,,
cad_fullnme,String,40,0,True,,,,,,
time,Real,0,0,True,,,,,,
Shape_Length,Real,0,0,True,FILEGEODATABASE_SHAPE_LENGTH,,,,,
