name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
GIS_ID,String,15,0,True,,,,,,
FTYPE,Integer,0,0,False,,,,,,
AREA_NAME,String,75,0,True,,,,,,
AREA_NMBR,Integer,0,0,True,,,,,,
AREA_ABBR,String,20,0,True,,,,,,
AREA_TYPE,Integer,0,0,True,,,,,,
ACRE,Real,0,0,True,,,,,,
CNTCT_NME,String,50,0,True,,,,,,
CNTCT_DPT,String,50,0,True,,,,,,
CNTCT_PHN,String,25,0,True,,,,,,
CNTCT_EML,String,75,0,True,,,,,,
CNTCT_ADDR,String,50,0,True,,,,,,
CNTCT_ADDR2,String,50,0,True,,,,,,
CNTCT_CITY,String,25,0,True,,,,,,
CNTCT_STATE,String,2,0,True,,,,,,
CNTCT_ZIP,String,10,0,True,,,,,,
HALF,String,3,0,True,,,,,,
URL,String,100,0,True,,,,,,
Shape_Length,Real,0,0,True,FILEGEODATABASE_SHAPE_LENGTH,,,,,
Shape_Area,Real,0,0,True,FILEGEODATABASE_SHAPE_AREA,,,,,
