name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
BRDGNMBSR,String,9,0,True,,,,,,
QUALIFIER,String,1,0,True,,,,,,
COUNTY,String,16,0,True,,,,,,
ADT,Real,0,0,True,,,,,,
ADT_YEAR,Integer,0,0,True,,,,,,
BSR,Real,0,0,True,,,,,,
LOCATION,String,255,0,True,,,,,,
FEDERAL_AID,String,255,0,True,,,,,,
QUADRANT,String,255,0,True,,,,,,
MAPGRID,String,255,0,True,,,,,,
DESCRIPTION,String,255,0,True,,,,,,
SPANS,Real,0,0,True,,,,,,
CONSULTANT,String,255,0,True,,,,,,
INSP_START,String,255,0,True,,,,,,
INSP_CMPLT,String,255,0,True,,,,,,
UNDERWTR_CMPLT,String,255,0,True,,,,,,
SIA_CMPLT,String,255,0,True,,,,,,
RATING_ANLYS,DateTime,0,0,True,,,,,,
REPORT_STRTD,String,255,0,True,,,,,,
REPRT_CMPLT,String,255,0,True,,,,,,
SUBMIT_DTE,DateTime,0,0,True,,,,,,
POSTING,String,255,0,True,,,,,,
MOVABLE,String,255,0,True,,,,,,
RAILROAD,String,255,0,True,,,,,,
NOTE_,String,255,0,True,,,,,,
DIG_NOTE,String,200,0,True,,,,,,
BSRLBL,String,5,0,True,,,,,,
URL,String,100,0,True,,,,,,
created_user,String,255,0,True,,,,,,
created_date,DateTime,0,0,True,,,,,,
last_edited_user,String,255,0,True,,,,,,
last_edited_date,DateTime,0,0,True,,,,,,
