name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
SUBWYSTA_,Real,0,0,True,,,,,,
SUBWYSTA_I,Real,0,0,True,,,,,,
NAME,String,30,0,True,,,,,,
ADDRESS,String,40,0,True,,,,,,
TO_OWINGS_,Integer,0,0,True,,,,,,
TO_OLD_COU,Integer,0,0,True,,,,,,
TO_MILFORD,Integer,0,0,True,,,,,,
TO_REISTER,Integer,0,0,True,,,,,,
TO_ROGERS_,Integer,0,0,True,,,,,,
TO_WEST_CO,Integer,0,0,True,,,,,,
TO_MONDAWM,Integer,0,0,True,,,,,,
TO_PENN___,Integer,0,0,True,,,,,,
TO_UPTON,Integer,0,0,True,,,,,,
TO_LEXINGT,Integer,0,0,True,,,,,,
TO_CHARLES,Integer,0,0,True,,,,,,
TO_STATE_C,Integer,0,0,True,,,,,,
TO_SHOT_TO,Real,0,0,True,,,,,,
TO_JOHN_HO,Real,0,0,True,,,,,,
SOURCE,String,25,0,True,,,,,,
URL,String,100,0,True,,,,,,
created_user,String,255,0,True,,,,,,
created_date,DateTime,0,0,True,,,,,,
last_edited_user,String,255,0,True,,,,,,
last_edited_date,DateTime,0,0,True,,,,,,
