friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_voOrZLQCHZxY,STREETCL_,Real,,,,,,
b1g_voOrZLQCHZxY,SUBTYPE,String,,,,,,
b1g_voOrZLQCHZxY,SYMBOL,Integer,,,,,,
b1g_voOrZLQCHZxY,L_F_ADD,Integer,,,,,,
b1g_voOrZLQCHZxY,L_T_ADD,Integer,,,,,,
b1g_voOrZLQCHZxY,R_F_ADD,Integer,,,,,,
b1g_voOrZLQCHZxY,R_T_ADD,Integer,,,,,,
b1g_voOrZLQCHZxY,PRE_DIR,String,,,,,,
b1g_voOrZLQCHZxY,ST_NAME,String,,,,,,
b1g_voOrZLQCHZxY,ST_TYPE,String,,,,,,
b1g_voOrZLQCHZxY,SUF_DIR,String,,,,,,
b1g_voOrZLQCHZxY,ZIPL,String,,,,,,
b1g_voOrZLQCHZxY,ZIP_EXTL,String,,,,,,
b1g_voOrZLQCHZxY,ZIPR,String,,,,,,
b1g_voOrZLQCHZxY,ZIP_EXTR,String,,,,,,
b1g_voOrZLQCHZxY,ONEWAY,Integer,,,,,,
b1g_voOrZLQCHZxY,SUFF_TYPE,String,,,,,,
b1g_voOrZLQCHZxY,SUFF_ID,Integer,,,,,,
b1g_voOrZLQCHZxY,SUFF_MAT,String,,,,,,
b1g_voOrZLQCHZxY,IDNUM,Integer,,,,,,
b1g_voOrZLQCHZxY,CFCC,String,,,,,,
b1g_voOrZLQCHZxY,FIRE_L,String,,,,,,
b1g_voOrZLQCHZxY,FIRE_R,String,,,,,,
b1g_voOrZLQCHZxY,POLICE_L,String,,,,,,
b1g_voOrZLQCHZxY,POLICE_R,String,,,,,,
b1g_voOrZLQCHZxY,EMS_R,String,,,,,,
b1g_voOrZLQCHZxY,EMS_L,String,,,,,,
b1g_voOrZLQCHZxY,FULLNAME,String,,,,,,
b1g_voOrZLQCHZxY,BLOCKTEXT,String,,,,,,
b1g_voOrZLQCHZxY,Shape_Leng,Real,,,,,,
b1g_voOrZLQCHZxY,Shape_Length,Real,,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.,,
