friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_jPWHVstGXtCV,AREA_NAME,String,,,,,,
b1g_jPWHVstGXtCV,CNTCT_NME,String,,,,,,
b1g_jPWHVstGXtCV,CNTCT_PHN,String,,,,,,
b1g_jPWHVstGXtCV,CNTCT_EML,String,,,,,,
b1g_jPWHVstGXtCV,CNTCT_ADDR,String,,,,,,
b1g_jPWHVstGXtCV,CNTCT_CITY,String,,,,,,
b1g_jPWHVstGXtCV,CNTCT_ZIP,String,,,,,,
b1g_jPWHVstGXtCV,totalPop,Real,,,,,,
b1g_jPWHVstGXtCV,White,Real,,,,,,
b1g_jPWHVstGXtCV,blackAfAm,Real,,,,,,
b1g_jPWHVstGXtCV,AIAN,Real,,,,,,
b1g_jPWHVstGXtCV,Asian,Real,,,,,,
b1g_jPWHVstGXtCV,NHPI,Real,,,,,,
b1g_jPWHVstGXtCV,Other,Real,,,,,,
b1g_jPWHVstGXtCV,hispanicLa,Real,,HispanicLat,,,,
b1g_jPWHVstGXtCV,TwoOrMore,Real,,,,,,
b1g_jPWHVstGXtCV,URL,String,,,,,,
b1g_jPWHVstGXtCV,Shape_Length,Real,,,,,,
b1g_jPWHVstGXtCV,Shape_Area,Real,,,,,,
