friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_Xc67skfADkPS,OBJECTID,Integer,,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.,,
b1g_Xc67skfADkPS,SUBTYPE,String,,Shape_Leng. Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.,,
b1g_Xc67skfADkPS,SYMBOL,Integer,,LINE. Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.,,
b1g_Xc67skfADkPS,TAG,String,,TYPE. Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.,,
b1g_Xc67skfADkPS,TYPE,String,,SUBTYPE. Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.,,
b1g_Xc67skfADkPS,Shape_Leng,Real,,SubTypeCod. Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.,,
b1g_Xc67skfADkPS,SubTypeCod,Integer,,SYMBOL. Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.,,
b1g_Xc67skfADkPS,LINE,String,,created_user,,,,
b1g_Xc67skfADkPS,created_user,String,,created_date,,,,
b1g_Xc67skfADkPS,created_date,DateTime,,last_edited_user,,,,
b1g_Xc67skfADkPS,last_edited_user,String,,last_edited_date,,,,
b1g_Xc67skfADkPS,last_edited_date,DateTime,,Shape_Length. Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.,,
b1g_Xc67skfADkPS,Shape_Length,Real,,OBJECTID_1. Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.,,
