friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_cOmJ2UkiTlMH,Name,String,,,,,,
b1g_cOmJ2UkiTlMH,Population,Integer,,,,,,
b1g_cOmJ2UkiTlMH,White,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Blk_AfAm,Integer,,,,,,
b1g_cOmJ2UkiTlMH,AmInd_AkNa,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Asian,Integer,,,,,,
b1g_cOmJ2UkiTlMH,NatHaw_Pac,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Other_Race,Integer,,,,,,
b1g_cOmJ2UkiTlMH,TwoOrMore,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Hisp_Lat,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Male,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Female,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Total_Units,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Occ_Occupied,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Occ_Vacant,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Tenure_Owner,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Tenure_Renter,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Vacant_ForRent,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Vacant_ForSale,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Vacant_Other_All,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH_Total,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH_Family,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH_Married,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH_OtherFamily,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH_Male_NoSpouse,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH_Female_NoSpouse,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH_NonFamily,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH_NonFamilyAlone,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH_NonFamilyNotAlone,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH18_With18,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH18_FamilyWith18,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH18_NonFamilyWith18,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH18_No18,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH18_FamilyNo18,Integer,,,,,,
b1g_cOmJ2UkiTlMH,HH18_NonFamilyNo18,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_U5,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_5_9,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_10_14,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_15_17,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_18_21,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_22_24,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_25_29,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_30_34,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_35_39,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_40_44,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_45_49,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_50_54,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_55_59,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_60_64,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_65_69,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_70_74,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_75_79,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_80_84,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Age_85up,Integer,,,,,,
b1g_cOmJ2UkiTlMH,Med_Age,Real,,,,,,
b1g_cOmJ2UkiTlMH,Med_Age_Male,Real,,,,,,
b1g_cOmJ2UkiTlMH,Med_Age_Female,Real,,,,,,
b1g_cOmJ2UkiTlMH,GlobalID,String,,,,,,
b1g_cOmJ2UkiTlMH,Shape_Length,Real,,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.,,
b1g_cOmJ2UkiTlMH,Shape_Area,Real,,Area of feature in internal units squared.,Esri,Positive real numbers that are automatically generated.,,
