friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_0glvDRBS6fgu,ZONE_NO,Integer,,,,,,
b1g_0glvDRBS6fgu,AREA_NO,Integer,,,,,,
b1g_0glvDRBS6fgu,RTID,String,,,,,,
b1g_0glvDRBS6fgu,YARD_ID,Integer,,,,,,
b1g_0glvDRBS6fgu,Zone_,String,,,,,,
b1g_0glvDRBS6fgu,INSP_LINKP,String,,,,,,
b1g_0glvDRBS6fgu,INSP_LINKS,String,,,,,,
b1g_0glvDRBS6fgu,AGENCY,String,,,,,,
b1g_0glvDRBS6fgu,YARD_NAME,String,,,,,,
b1g_0glvDRBS6fgu,Y_ADDRESS,String,,,,,,
b1g_0glvDRBS6fgu,Y_PHONE,String,,,,,,
b1g_0glvDRBS6fgu,GlobalID,String,,,,,,
b1g_0glvDRBS6fgu,URL,String,,,,,,
b1g_0glvDRBS6fgu,PASS,Integer,,,,,,
b1g_0glvDRBS6fgu,Shape_Length,Real,,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.,,
b1g_0glvDRBS6fgu,Shape_Area,Real,,Area of feature in internal units squared.,Esri,Positive real numbers that are automatically generated.,,
