friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_bCvJ2DHkWuZz,PIN,String,,,,,,
b1g_bCvJ2DHkWuZz,PINRELATE,String,,,,,,
b1g_bCvJ2DHkWuZz,BLOCKLOT,String,,,,,,
b1g_bCvJ2DHkWuZz,BLOCK,String,,,,,,
b1g_bCvJ2DHkWuZz,LOT,String,,,,,,
b1g_bCvJ2DHkWuZz,WARD,String,,,,,,
b1g_bCvJ2DHkWuZz,SECTION,String,,,,,,
b1g_bCvJ2DHkWuZz,ASSESSOR,String,,Assessor Number,,,,
b1g_bCvJ2DHkWuZz,TAXBASE,Integer,,Tax Base Value,,,,
b1g_bCvJ2DHkWuZz,BFCVLAND,Integer,,Base Full Cash Land Value,,,,
b1g_bCvJ2DHkWuZz,BFCVIMPR,Integer,,Base Full Cash Improvement,,,,
b1g_bCvJ2DHkWuZz,LANDEXMP,Integer,,Base Full Cash Exempt Land,,,,
b1g_bCvJ2DHkWuZz,IMPREXMP,Integer,,Base Full Cash Exempt Improvement,,,,
b1g_bCvJ2DHkWuZz,CITYCRED,Real,,City Tax Credit,,,,
b1g_bCvJ2DHkWuZz,STATCRED,Real,,State Tax Credit,,,,
b1g_bCvJ2DHkWuZz,CCREDAMT,Real,,City Assessment Credit,,,,
b1g_bCvJ2DHkWuZz,SCREDAMT,Real,,State  Assessment Credit,,,,
b1g_bCvJ2DHkWuZz,PERMHOME,String,,Permanent Home Indicator,,,,
b1g_bCvJ2DHkWuZz,ASSESGRP,String,,Assessment Group,,,,
b1g_bCvJ2DHkWuZz,LOT_SIZE,String,,Lot Size,,,,
b1g_bCvJ2DHkWuZz,NO_IMPRV,String,,,,,,
b1g_bCvJ2DHkWuZz,CURRLAND,Integer,,Current Full Cash Land,,,,
b1g_bCvJ2DHkWuZz,CURRIMPR,Integer,,Current Full Cash Improvement,,,,
b1g_bCvJ2DHkWuZz,EXMPLAND,Integer,,Current Full Cash Exempt Land,,,,
b1g_bCvJ2DHkWuZz,EXMPIMPR,Integer,,Current Full Cash Exempt Improvement,,,,
b1g_bCvJ2DHkWuZz,FULLCASH,Real,,Current Full Cash,,,,
b1g_bCvJ2DHkWuZz,EXMPTYPE,String,,Exempt Type City or State,,,,
b1g_bCvJ2DHkWuZz,EXMPCODE,String,,State Exempt Code,,,,
b1g_bCvJ2DHkWuZz,USEGROUP,String,,Land Use Code Group,,,,
b1g_bCvJ2DHkWuZz,ZONECODE,String,,Zoning Code,,,,
b1g_bCvJ2DHkWuZz,SDATCODE,String,,SDAT Land Use Code,,,,
b1g_bCvJ2DHkWuZz,ARTAXBAS,Integer,,A/R Tax Base,,,,
b1g_bCvJ2DHkWuZz,DISTSWCH,String,,Downtown Mgt. District,,,,
b1g_bCvJ2DHkWuZz,DIST_ID,String,,Downtown Mgt. District ID,,,,
b1g_bCvJ2DHkWuZz,STATETAX,Real,,State Tax  Amount,,,,
