friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_Via2WllDctRR,ZONE_NO,Integer,,,,,,
b1g_Via2WllDctRR,AREA_NO,Integer,,,,,,
b1g_Via2WllDctRR,ISSUE_NO,Integer,,,,,,
b1g_Via2WllDctRR,AREA_,Real,,,,,,
b1g_Via2WllDctRR,PERIMETER,Real,,,,,,
b1g_Via2WllDctRR,ACRES,Real,,,,,,
b1g_Via2WllDctRR,RTID,String,,,,,,
b1g_Via2WllDctRR,Inspected,String,,,,,,
b1g_Via2WllDctRR,AGENCY,String,,,,,,
b1g_Via2WllDctRR,YARD_NAME,String,,,,,,
b1g_Via2WllDctRR,Y_ADDRESS,String,,,,,,
b1g_Via2WllDctRR,Y_PHONE,String,,,,,,
b1g_Via2WllDctRR,URL,String,,,,,,
b1g_Via2WllDctRR,PASS,Integer,,,,,,
b1g_Via2WllDctRR,CMPNY,String,,,,,,
b1g_Via2WllDctRR,CNTCT1,String,,,,,,
b1g_Via2WllDctRR,CNTCT2,String,,,,,,
b1g_Via2WllDctRR,CNTCT3,String,,,,,,
b1g_Via2WllDctRR,CNTCT4,String,,,,,,
b1g_Via2WllDctRR,Shape_Length,Real,,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.,,
b1g_Via2WllDctRR,Shape_Area,Real,,Area of feature in internal units squared.,Esri,Positive real numbers that are automatically generated.,,
