friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_YNZa8Mb3Rb1f,edit_date,DateTime,,,,,,
b1g_YNZa8Mb3Rb1f,fraddl,Integer,,,,,,
b1g_YNZa8Mb3Rb1f,toaddl,Integer,,,,,,
b1g_YNZa8Mb3Rb1f,fraddr,Integer,,,,,,
b1g_YNZa8Mb3Rb1f,toaddr,Integer,,,,,,
b1g_YNZa8Mb3Rb1f,parity_l,String,,,,,,
b1g_YNZa8Mb3Rb1f,parity_r,String,,,,,,
b1g_YNZa8Mb3Rb1f,dirpre,String,,,,,,
b1g_YNZa8Mb3Rb1f,feanme,String,,,,,,
b1g_YNZa8Mb3Rb1f,featype,String,,,,,,
b1g_YNZa8Mb3Rb1f,dirsuf,String,,,,,,
b1g_YNZa8Mb3Rb1f,country_l,String,,,,,,
b1g_YNZa8Mb3Rb1f,country_r,String,,,,,,
b1g_YNZa8Mb3Rb1f,state_l,String,,,,,,
b1g_YNZa8Mb3Rb1f,state_r,String,,,,,,
b1g_YNZa8Mb3Rb1f,county_l,String,,,,,,
b1g_YNZa8Mb3Rb1f,county_r,String,,,,,,
b1g_YNZa8Mb3Rb1f,incmuni_l,String,,,,,,
b1g_YNZa8Mb3Rb1f,incmuni_r,String,,,,,,
b1g_YNZa8Mb3Rb1f,leftzip,String,,,,,,
b1g_YNZa8Mb3Rb1f,rightzip,String,,,,,,
b1g_YNZa8Mb3Rb1f,external_nguid,String,,,,,,
b1g_YNZa8Mb3Rb1f,cline_id,String,,CLINE_ID,,,,
b1g_YNZa8Mb3Rb1f,tag,String,,TAG,,,,
b1g_YNZa8Mb3Rb1f,last_org,String,,LAST_ORG,,,,
b1g_YNZa8Mb3Rb1f,capture_method,String,,CAPTURE_METHOD,,,,
b1g_YNZa8Mb3Rb1f,edit_type,String,,EDIT_TYPE,,,,
b1g_YNZa8Mb3Rb1f,subtype,String,,SUBTYPE,,,,
b1g_YNZa8Mb3Rb1f,feat_status,String,,FEAT_STATUS,,,,
b1g_YNZa8Mb3Rb1f,fr_street,String,,FR_STREET,,,,
b1g_YNZa8Mb3Rb1f,to_street,String,,TO_STREET,,,,
b1g_YNZa8Mb3Rb1f,travel_direction,String,,TRAVEL_DIRECTION,,,,
b1g_YNZa8Mb3Rb1f,fr_speed_limit,Integer,,FR_SPEED_LIMIT,,,,
b1g_YNZa8Mb3Rb1f,to_speed_limit,Integer,,TO_SPEED_LIMIT,,,,
b1g_YNZa8Mb3Rb1f,fraddla,Integer,,FRADDLA,,,,
b1g_YNZa8Mb3Rb1f,toaddla,Integer,,TOADDLA,,,,
b1g_YNZa8Mb3Rb1f,fraddra,Integer,,FRADDRA,,,,
b1g_YNZa8Mb3Rb1f,toaddra,Integer,,TOADDRA,,,,
b1g_YNZa8Mb3Rb1f,city_code,String,,CITY_CODE,,,,
b1g_YNZa8Mb3Rb1f,id_prefix,String,,ID_PREFIX,,,,
b1g_YNZa8Mb3Rb1f,id_rte_no,Integer,,ID_RTE_NO,,,,
b1g_YNZa8Mb3Rb1f,routeid_sha,String,,ROUTEID_SHA,,,,
b1g_YNZa8Mb3Rb1f,tsd_id,Integer,,TSD_ID,,,,
b1g_YNZa8Mb3Rb1f,sha_class,String,,SHA_CLASS,,,,
b1g_YNZa8Mb3Rb1f,func_class,String,,FUNC_CLASS,,,,
b1g_YNZa8Mb3Rb1f,route_type,String,,ROUTE_TYPE,,,,
b1g_YNZa8Mb3Rb1f,route_number,String,,ROUTE_NUMBER,,,,
b1g_YNZa8Mb3Rb1f,miles,Real,,MILES,,,,
b1g_YNZa8Mb3Rb1f,block_num,String,,BLOCK_NUM,,,,
b1g_YNZa8Mb3Rb1f,blocktext,String,,BLOCKTEXT,,,,
b1g_YNZa8Mb3Rb1f,flag,String,,FLAG,,,,
b1g_YNZa8Mb3Rb1f,evac_route,String,,EVAC_ROUTE,,,,
b1g_YNZa8Mb3Rb1f,comments,String,,COMMENTS,,,,
b1g_YNZa8Mb3Rb1f,drivable,String,,DRIVABLE,,,,
b1g_YNZa8Mb3Rb1f,geofile_2d,String,,GEOFILE_2D,,,,
b1g_YNZa8Mb3Rb1f,docpopurl,String,,DOCPOPURL,,,,
b1g_YNZa8Mb3Rb1f,RCL_Appendix_external_nguid,String,,external_nguid,,,,
b1g_YNZa8Mb3Rb1f,stcl_ALIAS_external_nguid,String,,external_nguid,,,,
b1g_YNZa8Mb3Rb1f,stcl_ALIAS_cline_id,String,,CLINE_ID,,,,
b1g_YNZa8Mb3Rb1f,stcl_ALIAS_tag,String,,TAG,,,,
b1g_YNZa8Mb3Rb1f,alias_name,String,,ALIAS_NAME,,,,
b1g_YNZa8Mb3Rb1f,alias_1,String,,ALIAS_1,,,,
b1g_YNZa8Mb3Rb1f,alias_2,String,,ALIAS_2,,,,
b1g_YNZa8Mb3Rb1f,alias_3,String,,ALIAS_3,,,,
b1g_YNZa8Mb3Rb1f,stcl_DOT_BASIC_external_nguid,String,,external_nguid,,,,
b1g_YNZa8Mb3Rb1f,stcl_DOT_BASIC_cline_id,String,,CLINE_ID,,,,
b1g_YNZa8Mb3Rb1f,stcl_DOT_BASIC_tag,String,,TAG,,,,
b1g_YNZa8Mb3Rb1f,percent_grade,Real,,PERCENT_GRADE,,,,
b1g_YNZa8Mb3Rb1f,from_intersection_id,String,,FROM_INTERSECTION_ID,,,,
b1g_YNZa8Mb3Rb1f,to_intersection_id,String,,TO_INTERSECTION_ID,,,,
b1g_YNZa8Mb3Rb1f,transport_sector,String,,TRANSPORT_SECTOR,,,,
b1g_YNZa8Mb3Rb1f,official_street_designation,String,,OFFICIAL_STREET_DESIGNATION,,,,
b1g_YNZa8Mb3Rb1f,street_ownership,String,,STREET_OWNERSHIP,,,,
b1g_YNZa8Mb3Rb1f,street_maintenance,String,,STREET_MAINTENANCE,,,,
b1g_YNZa8Mb3Rb1f,sha_id,String,,SHA_ID,,,,
b1g_YNZa8Mb3Rb1f,traffic_count_aadt,Integer,,TRAFFIC_COUNT_AADT,,,,
b1g_YNZa8Mb3Rb1f,traffic_count_year,Integer,,TRAFFIC_COUNT_YEAR,,,,
b1g_YNZa8Mb3Rb1f,stcl_DOT_PROFILE_external_nguid,String,,external_nguid,,,,
b1g_YNZa8Mb3Rb1f,stcl_DOT_PROFILE_cline_id,String,,CLINE_ID,,,,
b1g_YNZa8Mb3Rb1f,stcl_DOT_PROFILE_tag,String,,TAG,,,,
b1g_YNZa8Mb3Rb1f,row_width,Real,,ROW_WIDTH,,,,
b1g_YNZa8Mb3Rb1f,street_width,Real,,STREET_WIDTH,,,,
b1g_YNZa8Mb3Rb1f,lane_count,Integer,,LANE_COUNT,,,,
b1g_YNZa8Mb3Rb1f,median_present,String,,MEDIAN_PRESENT,,,,
b1g_YNZa8Mb3Rb1f,median_type,String,,MEDIAN_TYPE,,,,
b1g_YNZa8Mb3Rb1f,median_turn_lane_present,String,,MEDIAN_TURN_LANE_PRESENT,,,,
b1g_YNZa8Mb3Rb1f,shoulder_present,String,,SHOULDER_PRESENT,,,,
b1g_YNZa8Mb3Rb1f,ft_shoulder_type,String,,FT_SHOULDER_TYPE,,,,
b1g_YNZa8Mb3Rb1f,ft_shoulder_width,Real,,FT_SHOULDER_WIDTH,,,,
b1g_YNZa8Mb3Rb1f,tf_shoulder_type,String,,TF_SHOULDER_TYPE,,,,
b1g_YNZa8Mb3Rb1f,tf_shoulder_width,Real,,TF_SHOULDER_WIDTH,,,,
b1g_YNZa8Mb3Rb1f,stcl_EGIS_SNOW_external_nguid,String,,external_nguid,,,,
b1g_YNZa8Mb3Rb1f,stcl_EGIS_SNOW_cline_id,String,,CLINE_ID,,,,
b1g_YNZa8Mb3Rb1f,stcl_EGIS_SNOW_tag,String,,TAG,,,,
b1g_YNZa8Mb3Rb1f,snowrt_type,String,,SNOWRT_TYPE,,,,
b1g_YNZa8Mb3Rb1f,snowrt_class,Integer,,SNOWRT_CLASS,,,,
b1g_YNZa8Mb3Rb1f,zone_no,Integer,,ZONE_NO,,,,
b1g_YNZa8Mb3Rb1f,area_no,Integer,,AREA_NO,,,,
b1g_YNZa8Mb3Rb1f,overlay_zn,Integer,,OVERLAY_ZN,,,,
b1g_YNZa8Mb3Rb1f,overlay_rt,String,,OVERLAY_RT,,,,
b1g_YNZa8Mb3Rb1f,snwemrte,String,,SNWEMRTE,,,,
b1g_YNZa8Mb3Rb1f,timeres_1_snwemrte,String,,TIMERES_1_SNWEMRTE,,,,
b1g_YNZa8Mb3Rb1f,timeres_2_snwemrte,String,,TIMERES_2_SNWEMRTE,,,,
b1g_YNZa8Mb3Rb1f,tandem_rte,String,,TANDEM_RTE,,,,
b1g_YNZa8Mb3Rb1f,new_rte_cla,Integer,,NEW_RTE_CLA,,,,
b1g_YNZa8Mb3Rb1f,recordid,Integer,,RECORDID,,,,
b1g_YNZa8Mb3Rb1f,new_rte_type,Integer,,NEW_RTE_TYPE,,,,
b1g_YNZa8Mb3Rb1f,rtid,String,,RTID,,,,
b1g_YNZa8Mb3Rb1f,stcl_MAVERICK_external_nguid,String,,external_nguid,,,,
b1g_YNZa8Mb3Rb1f,stcl_MAVERICK_cline_id,String,,CLINE_ID,,,,
b1g_YNZa8Mb3Rb1f,stcl_MAVERICK_tag,String,,TAG,,,,
b1g_YNZa8Mb3Rb1f,city_l,String,,CITY_L,,,,
b1g_YNZa8Mb3Rb1f,city_r,String,,CITY_R,,,,
b1g_YNZa8Mb3Rb1f,map_l,String,,MAP_L,,,,
b1g_YNZa8Mb3Rb1f,map_r,String,,MAP_R,,,,
b1g_YNZa8Mb3Rb1f,lim_access,String,,LIM_ACCESS,,,,
b1g_YNZa8Mb3Rb1f,lar_dir,String,,LAR_DIR,,,,
b1g_YNZa8Mb3Rb1f,ft_cost,Real,,FT_COST,,,,
b1g_YNZa8Mb3Rb1f,tf_cost,Real,,TF_COST,,,,
b1g_YNZa8Mb3Rb1f,f_elev,Integer,,F_ELEV,,,,
b1g_YNZa8Mb3Rb1f,t_elev,Integer,,T_ELEV,,,,
b1g_YNZa8Mb3Rb1f,oneway,String,,ONEWAY,,,,
b1g_YNZa8Mb3Rb1f,speed,Integer,,SPEED,,,,
b1g_YNZa8Mb3Rb1f,lowlarrel,String,,LOWLARREL,,,,
b1g_YNZa8Mb3Rb1f,highlarrel,String,,HIGHLARREL,,,,
b1g_YNZa8Mb3Rb1f,prd_l,String,,PoliceArea_L,,,,
b1g_YNZa8Mb3Rb1f,prd_r,String,,PoliceArea_R,,,,
b1g_YNZa8Mb3Rb1f,frd_l,String,,FireArea_L,,,,
b1g_YNZa8Mb3Rb1f,frd_r,String,,FireArea_R,,,,
b1g_YNZa8Mb3Rb1f,p_mod_lft,String,,P_MOD_LFT,,,,
b1g_YNZa8Mb3Rb1f,p_mod_rt,String,,P_MOD_RT,,,,
b1g_YNZa8Mb3Rb1f,f_mod_lft,String,,F_MOD_LFT,,,,
b1g_YNZa8Mb3Rb1f,f_mod_rt,String,,F_MOD_RT,,,,
b1g_YNZa8Mb3Rb1f,adc_map,String,,ADC_MAP,,,,
b1g_YNZa8Mb3Rb1f,cad_feaname,String,,CAD_FEANAME,,,,
b1g_YNZa8Mb3Rb1f,cad_fullnme,String,,CAD_FULLNME,,,,
b1g_YNZa8Mb3Rb1f,time,Real,,TIME,,,,
b1g_YNZa8Mb3Rb1f,Shape_Length,Real,,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.,,
