friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_Qdo6JyhLnUSC,GIS_ID,String,,FTYPE. A unique feature identifier used in the City of Baltimore's Enterprise Geographic Information System,EGIS,,,
b1g_Qdo6JyhLnUSC,FTYPE,Integer,,AREA_NAME. The type of feature,EGIS,,,
b1g_Qdo6JyhLnUSC,AREA_NAME,String,,AREA_NMBR. Name of the area,EGIS,,,
b1g_Qdo6JyhLnUSC,AREA_NMBR,Integer,,AREA_ABBR,,,,
b1g_Qdo6JyhLnUSC,AREA_ABBR,String,,AREA_TYPE,,,,
b1g_Qdo6JyhLnUSC,AREA_TYPE,Integer,,"ACRE. The type of area, zone, region, neighborhood, etc",EGIS,,,
b1g_Qdo6JyhLnUSC,ACRE,Real,,CNTCT_NME,,,,
b1g_Qdo6JyhLnUSC,CNTCT_NME,String,,CNTCT_DPT,,,,
b1g_Qdo6JyhLnUSC,CNTCT_DPT,String,,CNTCT_PHN,,,,
b1g_Qdo6JyhLnUSC,CNTCT_PHN,String,,CNTCT_EML,,,,
b1g_Qdo6JyhLnUSC,CNTCT_EML,String,,CNTCT_ADDR,,,,
b1g_Qdo6JyhLnUSC,CNTCT_ADDR,String,,CNTCT_ADDR2,,,,
b1g_Qdo6JyhLnUSC,CNTCT_ADDR2,String,,CNTCT_CITY,,,,
b1g_Qdo6JyhLnUSC,CNTCT_CITY,String,,CNTCT_STATE,,,,
b1g_Qdo6JyhLnUSC,CNTCT_STATE,String,,HALF,,,,
b1g_Qdo6JyhLnUSC,CNTCT_ZIP,String,,Shape_Length. Area of feature in internal units squared.,ESRI,Positive real numbers that are automatically generated.,,
b1g_Qdo6JyhLnUSC,HALF,String,,Shape_Area. Length of feature in internal units.,ESRI,Positive real numbers that are automatically generated.,,
b1g_Qdo6JyhLnUSC,URL,String,,,,,,
b1g_Qdo6JyhLnUSC,Shape_Length,Real,,,,,,
b1g_Qdo6JyhLnUSC,Shape_Area,Real,,,,,,
