friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_700oULv2YoYn,BRDGNMBSR,String,,OBJECTID. Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.,,
b1g_700oULv2YoYn,QUALIFIER,String,,ADT,,,,
b1g_700oULv2YoYn,COUNTY,String,,created_user,,,,
b1g_700oULv2YoYn,ADT,Real,,ADT_YEAR,,,,
b1g_700oULv2YoYn,ADT_YEAR,Integer,,BSR,,,,
b1g_700oULv2YoYn,BSR,Real,,LOCATION,,,,
b1g_700oULv2YoYn,LOCATION,String,,FEDERAL_AID,,,,
b1g_700oULv2YoYn,FEDERAL_AID,String,,QUADRANT,,,,
b1g_700oULv2YoYn,QUADRANT,String,,MAPGRID,,,,
b1g_700oULv2YoYn,MAPGRID,String,,DESCRIPTION,,,,
b1g_700oULv2YoYn,DESCRIPTION,String,,SPANS,,,,
b1g_700oULv2YoYn,SPANS,Real,,CONSULTANT,,,,
b1g_700oULv2YoYn,CONSULTANT,String,,INSP_START,,,,
b1g_700oULv2YoYn,INSP_START,String,,INSP_CMPLT,,,,
b1g_700oULv2YoYn,INSP_CMPLT,String,,UNDERWTR_CMPLT,,,,
b1g_700oULv2YoYn,UNDERWTR_CMPLT,String,,SIA_CMPLT,,,,
b1g_700oULv2YoYn,SIA_CMPLT,String,,RATING_ANLYS,,,,
b1g_700oULv2YoYn,RATING_ANLYS,DateTime,,REPORT_STRTD,,,,
b1g_700oULv2YoYn,REPORT_STRTD,String,,REPRT_CMPLT,,,,
b1g_700oULv2YoYn,REPRT_CMPLT,String,,SUBMIT_DTE,,,,
b1g_700oULv2YoYn,SUBMIT_DTE,DateTime,,POSTING,,,,
b1g_700oULv2YoYn,POSTING,String,,MOVABLE,,,,
b1g_700oULv2YoYn,MOVABLE,String,,RAILROAD,,,,
b1g_700oULv2YoYn,RAILROAD,String,,NOTE_,,,,
b1g_700oULv2YoYn,NOTE_,String,,DIG_NOTE,,,,
b1g_700oULv2YoYn,DIG_NOTE,String,,BSRLBL,,,,
b1g_700oULv2YoYn,BSRLBL,String,,COUNTY,,,,
b1g_700oULv2YoYn,URL,String,,,,,,
b1g_700oULv2YoYn,created_user,String,,created_date,,,,
b1g_700oULv2YoYn,created_date,DateTime,,last_edited_user,,,,
b1g_700oULv2YoYn,last_edited_user,String,,last_edited_date,,,,
b1g_700oULv2YoYn,last_edited_date,DateTime,,URL,,,,
