friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_Ow9xM60T6uac,OBJECTID,Integer,,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.,,
b1g_Ow9xM60T6uac,Route_Numb,Integer,,,,,,
b1g_Ow9xM60T6uac,Route_Name,String,,Name of Route,,,,
b1g_Ow9xM60T6uac,Route_Type,String,,Transit Mode,,,,
b1g_Ow9xM60T6uac,Agency,String,,Government Agency that is delivering the service.,,,,
b1g_Ow9xM60T6uac,Shape_Leng,Real,,,,,,
b1g_Ow9xM60T6uac,Dist_Polic,String,,,,,,
b1g_Ow9xM60T6uac,County_FIP,Integer,,,,,,
b1g_Ow9xM60T6uac,Municipal_,Integer,,,,,,
b1g_Ow9xM60T6uac,created_user,String,,,,,,
b1g_Ow9xM60T6uac,created_date,DateTime,,,,,,
b1g_Ow9xM60T6uac,last_edited_user,String,,,,,,
b1g_Ow9xM60T6uac,last_edited_date,DateTime,,,,,,
b1g_Ow9xM60T6uac,Shape_Length,Real,,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.,,
