friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_XdEmJxcVu9yc,SUBWYSTA_,Real,,SUBWYSTA_I,,,,
b1g_XdEmJxcVu9yc,SUBWYSTA_I,Real,,NAME,,,,
b1g_XdEmJxcVu9yc,NAME,String,,ADDRESS,,,,
b1g_XdEmJxcVu9yc,ADDRESS,String,,TO_OWINGS_,,,,
b1g_XdEmJxcVu9yc,TO_OWINGS_,Integer,,TO_OLD_COU,,,,
b1g_XdEmJxcVu9yc,TO_OLD_COU,Integer,,TO_MILFORD,,,,
b1g_XdEmJxcVu9yc,TO_MILFORD,Integer,,TO_REISTER,,,,
b1g_XdEmJxcVu9yc,TO_REISTER,Integer,,TO_ROGERS_,,,,
b1g_XdEmJxcVu9yc,TO_ROGERS_,Integer,,TO_WEST_CO,,,,
b1g_XdEmJxcVu9yc,TO_WEST_CO,Integer,,TO_MONDAWM,,,,
b1g_XdEmJxcVu9yc,TO_MONDAWM,Integer,,TO_PENN___,,,,
b1g_XdEmJxcVu9yc,TO_PENN___,Integer,,TO_UPTON,,,,
b1g_XdEmJxcVu9yc,TO_UPTON,Integer,,TO_LEXINGT,,,,
b1g_XdEmJxcVu9yc,TO_LEXINGT,Integer,,TO_CHARLES,,,,
b1g_XdEmJxcVu9yc,TO_CHARLES,Integer,,TO_STATE_C,,,,
b1g_XdEmJxcVu9yc,TO_STATE_C,Integer,,TO_SHOT_TO,,,,
b1g_XdEmJxcVu9yc,TO_SHOT_TO,Real,,OBJECTID. Internal feature number.,Esri,Sequential unique whole numbers that are automatically generated.,,
b1g_XdEmJxcVu9yc,TO_JOHN_HO,Real,,URL. Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.,,
b1g_XdEmJxcVu9yc,SOURCE,String,,,,,,
b1g_XdEmJxcVu9yc,URL,String,,created_user,,,,
b1g_XdEmJxcVu9yc,created_user,String,,created_date,,,,
b1g_XdEmJxcVu9yc,created_date,DateTime,,last_edited_user,,,,
b1g_XdEmJxcVu9yc,last_edited_user,String,,last_edited_date,,,,
b1g_XdEmJxcVu9yc,last_edited_date,DateTime,,SOURCE,,,,
