ID,name,Description,Rights,Theme,geometry_type,geometry_type_name,Resource Type,feature_count,Bounding Box,Coordinate Reference System
b1g_mTUMVP7xA2cF,Zoning,,,,6,Multi Polygon,Polygon data,2468,"-76.712,39.1972,-76.5288,39.3726",https://epsg.io/2248
b1g_vnaOjz64rcI2,Address_Point,"A spatial data layer containing point geometry features for representing both the physical and mailing addresses for properties, buildings, and sub-address locations in Baltimore City, as documented in the City's real property and property location database sources. The data employs what's referred to as the City native schema/data standard, which has specific attribute field names, field formats, and data standards to support internal City services. The data contained in this data layer (number of features, accuracy, point locations) will match the data in the other address point data layer on Open Baltimore (“Address Point (NG911)”), just the format of the attribute field names and data standards will be different, as well as some internal City attributes fields have been added to support internal City services not related to a NG911 system. This data also employs the NAD 1983 StatePlane Maryland FIPS 1900 (US Feet) projected coordinate system (WKID: 2248). Data is updated on a quarterly basis.",,,1,Point,Point data,278896,"-76.712,39.2003,-76.5291,39.3725",https://epsg.io/2248
b1g_YNZa8Mb3Rb1f,Street_Centerline,"A spatial data layer containing line geometry features for representing the center line of roadways in Baltimore City, as documented in the City's enterprise GIS database and Department of Transportation right-of-way data sources. The data contains information on street address ranges, speed limits, one-way designations, street alias (a.k.a.) names, snow routes, and many other street related data. The data employs what's referred to as the City native schema/data standard, which has specific attribute field names, field formats, and data standards to support internal City services. The data contained in this data layer (number of features, accuracy, locations) will match the data in the other street centerline layer on Open Baltimore (“Street Centerline (NG911)”), just the format of the attribute field names and data standards will be different, as well as some internal City attributes fields have been added to support internal City services not related to a NG911 system. This data also employs the NAD 1983 StatePlane Maryland FIPS 1900 (US Feet) projected coordinate system (WKID: 2248). The data dictionary for this dataset can be accessed by visiting the following link.: Street Centerline (Native) Schema Data Dictionary | Open Baltimore (baltimorecity.gov). Data is updated on a quarterly basis.",,,5,Multi Line String,Line data,48521,"-76.7129,39.1991,-76.5279,39.3731",https://epsg.io/2248
b1g_bCvJ2DHkWuZz,Real_Property,"field_name abbreviated_field_name description data_type range_of_possible_values example_values searchable1 OBJECTID OBJECTID Database ID Field. Number 1 - 238206 501, 98500 No2 PIN PIN Record ID Field. Text 0001001 - PSC0085 8486001A, 0006034 Yes3 PINRELATE PINRELATE Record ID Related Field. Text 0001001 - PSC0085 8486001A, 0006034 Yes4 BLOCKLOT BLOCKLOT A combination of the ""BLOCK"" and ""LOT"" fields, separated with a space. Text 0001 001 - PSC0 085 8486 016, 4960A070 Yes5 BLOCK BLOCK An ID for the block the property resides on. Text 0001 - PSC0 1670, 5974 Yes6 LOT LOT An ID for an individual lot (parcel) within the larger block. Text 001 - 945 56, 083B Yes7 WARD WARD City identifier for region/jurisdiction. Number 1 -28, 50 4, 19 Yes8 SECTION SECTION City identifier for region/jurisdiction. Number 0 - 690, multiples of 10 with some exceptions 460, 130 Yes9 Assessor Number ASSESSOR SDAT assessor assigned to access the value of the property. Number 301 - 399, NULL, non continuous 346, 392 Yes10 Tax Based Value TAXBASE Total of phase-in assessments, Tax Base + Full Cash equals Assessed Value which is updated every 3 years for each property. Number 0 - 286450567, non continous 1300, 178100 Yes11 Base Full Cash Land Value BFCVLAND Base full cash value land taxable. This is last years current full cash value land. Used to calculate the Taxbase or assessment. Number 0 - 32700, non continous 20300, 8200 Yes12 Base Full Cash Improvement BFCIMPR Base full cash value improvement taxable (Buildings). This is last years current full cash value improvement used to calculate the taxbase or assessment. Number 0 - 232850200, non continous 409200, 59700 Yes13 Base Full Cash Exempt Land LANDEXMP Base full cash value land exempt. This is last years current full cash value land exempt. Used to calculate the taxbase or assessment. Number 0 - 114383100, non continous 211500, 8100 Yes14 Base Full Cash Exempt Improvement IMPREXMP Base full cash value improvement exempt. This is last years current full cash value improvement exempt. Used to calculate the taxbase or assessment. Number 0 - 559046100, non continous 15800, 142100 Yes15 City Tax Credit CITYCRED Amount of City homestead tax credit (HTC). Number 0 - 127, non continous 118, 27 Yes16 State Tax Credit STATCRED Amount of State homestead tax credit (HTC). Number 0 - 7080, non continous 1292.4, 13.05 Yes17 City Assessment Credit CCREDAMT Amount of city assessment used to calculate the city Homestead Credit or Assessment Credit. This amount is calculated by taking the adjusted prior assessment for the city and multiplying it by 104 % and if it is greater than the a/r taxbase we take the difference as the amount of credit assessment and multiply that by the city rate to get the ATC amount for billing. Number 0 - 19979.27, non contious 441.3, 973 Yes18 State Assessment Credit SCREDAMT Amount of state assessment used to calculate the state Homestead Credit or 7. This amount is calculated by taking the adjusted prior assessment for the state and multiplying it by 110 % and if it is greater than the a/r taxbase we take the difference as the amount of credit assessment and multiply that by the state rate to get the ATC amount for billing. Number 0 - 127 101, 57 Yes19 Permanent Home Indicator PERMHOME Owner/Dual/Renter occupied per SDAT. ‘H’ = owner occupied, ‘D’ = dual owner/renter (multiple units), ‘N’ = renter occupied. Category D, H, N D, H Yes20 Assessment Group ASSESGRP This field corresponds to the state assessment SDAT designations. Category 1, 2, 3 1, 2 Yes21 Lot Size LOT_SIZE Size of lot. Number Lot sizes based off dimensions, square feet and acres. 18-8X75, 1.800 ACRES, 999 S.F. Yes22 NO_IMPRV NO_IMPRV Vacant lot proxy. ‘Y’ if assessed improvements total $0. All Y’s are vacant lots and have no building. Category Y, NULL Y, NULL Yes23 Current Full Cash Land CURRLAND Current full cash value land taxable value. Number 0 - 123000000, non continous 169100, 35000 Yes24 Current Full Cash Improvement CURRIMPR Current full cash value improvements (buildings) taxable value. Number 0 - 275420700, non continous 398500, 42100 Yes25 Current Full Cash Exempt Land EXMPLAND Current full cash value land exempt (non taxable). Number 0 - 114383100, non continous 160700, 22200 Yes26 Current Full Cash Exempt Improvement EXMPIMPR Current full cash value improvement exempt (non taxable). Number 0 - 575294400, non continous 179300, 80000 Yes27 Current Full Cash FULLCASH Full cash value. Number 0 - 667920300, non continous 401200, 151000 Yes28 Exempt Type City or State EXMPTYPE Free from City or State Taxes for Revised Billing. S=State, E=City, NULL=Taxable. Category E, S, NULL E, NULL Yes29 State Exempt Code EXMPCODE State exempt code. Number 00 - 99, NULL, non continous 59, 24 Yes30 Land Use Code Group USEGROUP SDAT landuse type. Refer to state SDAT website for further information. Category A, C, CC, CR, E, EC, I, M, R, RC, U, NULL E, RC Yes31 Zoning Code ZONECODE City zoning code. Refer to Baltimore City Zoning Code information available online. Category BSC, C-1, C-1-E, C-1E*, C-1VC, C-2, C-2*, C-3, C-4, C-5DC, C5DC*, C-5DE, C-5-G, C-5HS, C-5HT, C-5IH, C-5TO, C5TO*, EC-1, EC-2, H, I-1, I-2, I-MU, IMU-1, IMU-2, MI, OIC, OR-1, OR-1*, OR-2, OR-2*, OS, OS*, PC-1, PC-2, PC-3, PC-4, R-1, R-1*, R-10, R-1-A, R-1-B, R-1-C, R-1-D, R-1-E, R-1E*, R-2, R-3, R-3*, R-4, R-4*, R-5, R-5*, R-6, R-6*, R-7, NULL EC-1, C-3 Yes32 SDAT Land Use Code SDATCODE SDAT land use code. Text 00599 - 9U020, NULL 59701, 22100 Yes33 A/R Tax Base ARTAXBAS Taxable assessment taken from previous year. Number 0 - 286450567, non continous 232700, 131033 Yes34 Downtown Mgt. District DISTSWCH Special benefits district indicator. Indicates if property is in a special benefits district where property owners pay a surcharge on Baltimore City property taxes to fund cleaning, greening, security services and neighborhood advocacy. Category Y, N, NULL Y, N Yes35 Downtown Mgt. District ID DIST_ID Special benefits district ID. Category 1 through 7, NULL 2, 5 Yes36 State Tax Amount STATETAX State property tax. Number 0 - 320824.6, non continous 610.92, 1705.31 Yes37 City Tax Amount CITY_TAX City property tax. Number 0 - 6439409, non continous 8226.17, 2135.6 Yes38 A/R Homeowner Indicator AR_OWNER Occupancy type from previous year/assessment - H=Home owner, N=Non homeowner, D=Dual Use.Category D, H, N H, N Yes39 Book Number for Deed DEEDBOOK Book in which deed recorded. Text ID consisting of three letters followed by five numbers. NULL Values. CWM00415, FAP00877, FMC14599 Yes40 Page Number for Deed DEEDPAGE Page on which deed recorded. Number 0000 - 9999, non continous, NULL 1230, 4310 Yes41 Date of Sale or Transfer SALEDATE Date the deed was recorded. Number 00000000 - 12312019, non continous 08121971, 02281985 Yes42 Abbreviated Ownership OWNER_ABBR Abbreviated ownership (for easy identification of publicly owned buildings). Category DHCD, HABC, HUD, MCC, USA, VA, NULL HABC, VA Yes43 Property Owner 1 OWNER_1 Owner field 1. Text N/A 1001 SAINT PAUL ST. 4 E LLC, 'WISE, DONTA' Yes44 Property Owner 2 OWNER_2 Owner field 2. Text N/A, NULL Values OLUMIDE, ADETOUN', 'GATEWOOD, ASKEW' Yes45 Property Owner 3 OWNER_3 Owner field 3. Text N/A, NULL Values ACCOUNT #7230011336, 'VIOLA, LAUREN' Yes46 Full Address of Property FULLADDR Full Address of Property. Text N/A, NULL Values 1521 N PAYSON ST, 2203 ASHTON ST Yes47 Property Street Direction STDIRPRE Street direction if applicable. Only N,S,E,W null values and blank are valid. Category E, N, S, W, NULL E, W Yes48 Street Name ST_NAME Street Name. Text N/A, NULL Values HOLBROOK, WILBERT Yes49 Street Type ST_TYPE An abbreviated, standardized identification descriptor which corresponds to physical and functional characteristics of a street. Category AL, AVE, BLVD, CIR, CT, DR, GRTH, HWY, LANE, MALL, MEWS, PASS, PATH, PIKE, PKWY, PL, PLZA, ROAD, RUN, SQ, ST, TERR, WALK, WAY, XING, NULL LANE, CT Yes50 Building Number BLDG_NO Five digit House Number 4 numeric, space or SC. Number 0 - 7807, non continous 5265, 1339 Yes51 Fraction FRACTION Any alpha-numeric value or fraction that represents a suffix on the current address for the structure. Category 1/2, A, B, NULLAny alpha numeric value and fraction. 1/2, B Yes52 Unit Number UNIT_NUM If there is a Unit Number associated with the property this field contains the free-form definition. Text N/A, NULL Values #1307, 505A, P-327, R115A, TB Yes53 SPAN_NUM SPAN_NUM Address number (span address such as 101-103 E Main St). If a spanned address exists this field contains the “to” portion of the span and must be 0001-9999. If no span this field is zero. Number 0 - 7713, non continous 3801, 2007 Yes54 SPANFRAC SPANFRAC For properties that have addresses that span a range of buildings, this field indicates if the high end of this span is a fraction. No Data Listed No Data Listed 55 Property Zip Code ZIP_CODE Property Zip Code. Number 00000 - 21234, non continous, NULL 21234, 21204 Yes56 Extended Zip Code EXTD_ZIP Four digit extension on orginal zip code. Number 0000 - 8800, non continous, NULL 4601, 3054 Yes57 DHCD Land Use Code 1 DHCDUSE1 DHCD Zoning enforcement From Construction &amp; Building Inspection Building Permits System. DHCD Land use code 1. Number 0000 - 9104, non continous 5011, 6928 Yes58 DHCD Land Use Code 2 DHCDUSE2 DHCD Zoning enforcement From Construction &amp; Building Inspection Building Permits System. DHCD Land use code 2. Number 0000 - 7004, non continous 2116, 5408 Yes59 DHCD Land Use Code 3 DHCDUSE3 DHCD Zoning enforcement From Construction &amp; Building Inspection Building Permits System. DHCD Land use code 3. Number 0000 - 9001, non continous 3041, 6005 Yes60 DHCD Land Use Code 4 DHCDUSE4 DHCD Zoning enforcement From Construction &amp; Building Inspection Building Permits System. DHCD Land use code 4. Number 0000 - 7004, non continous 2008, 3029 Yes61 DHCD Number of Dwelling DWELUNIT Number of dwelling units. Number 0 - 652, non continous 201, 119 Yes62 DHCD Number of Efficiency EFF_UNIT Number of efficiency units. Number 0 - 900, non continous 19, 160 Yes63 ROOMUNIT ROOMUNIT Number of rooming units. Number 0 - 757, non continous 208, 41 Yes64 RPDELTAG RPDELTAG Set during ownership and record maintenance by DPW-PL. All codesexcept ""D"" are removed at start of new fiscal year. A-Add, S-Subdivision, D-Delete, R-Lot Size, C-Consolidate. Category A, D, NULL A, D Yes65 Responsible Agency RESPAGCY This field represents an ID given to the city goverment agency that is responsible for the property. Number 01 - 39, NULL 19, 07 Yes66 Property Sale Price SALEPRIC Sale Price. Number 0 - 900000000 67950, 20160 Yes67 Property Description PROPDESC A brief description of the property and possibly what occurs there. Text N/A, NULL Values MUNICIPAL AIRPORT, WALBROOK BRANCH #8, HAWKINS POINT Yes68 Neighborhood NEIGHBOR Neighborhood the property is in. Text N/A, NULL Values ROSEMONT, RESERVOIR HILL Yes69 Neighborhood Service SRVCCNTR Coresponds to the Baltimore Police Districts. 1 = Central2 = Southeastern3 = Eastern4 = Northeastern5 = Northern6 = Northwestern7 = Western8 = Southwestern9 = Southern Number 1 - 9, NULL 7, 2 Yes70 Year Built YEAR_BUILD Year Built. Number 0 - 2024, non continous 1874, 1930 Yes71 Structure Area STRUCTAREA Structure square footage. Number 0 - 32760 7990, 4384 Yes72 Last Update LDATE Date last updated. Date N/A - continuously updated 7142024 No73 Ownership Mode OWNMDE Ownership mode of property. F=Fee simple, L=Leasehold, C/L=Contracted Lease to M&amp;CC from 3rd party. Category 3, F, L, NULL 3, L Yes74 Annual Ground Rent GRNDRENT Rent for the land on which on the property resides. Number 0 - 30034, non continous 7218, 228 Yes75 Parcel Subtype SUBTYPE_GEODB Indicates if a property is a single-family or muti-unit holding. 1 = Normal Lot: single structure or single address, 2 = Complex Lot: mult-unit structures, such as condominiums, apartment buildings. Category 1, 2 1, 2 Yes76 SDAT Link SDATLINK Maryland Department of Assessments and Taxation (SDAT) property URL. Text N/A https://sdat.dat.maryland.gov/realproperty/pages/viewdetails.aspx?County=03&amp;SearchType=ACCT&amp;Ward=20&amp;SECTION=10&amp;BLOCK=0258&amp;LOT=053 No77 BLOCKPLAT BLOCKPLAT Block Plat property URL. Text N/A https://gis.baltimorecity.gov/zoning/blockplats/4019.pdf No78 Mailing Address MAILTOADD The address this property receives mail from. Text N/A 8800 SUMMER GROVE DR LAUREL, MD, 20708, 9543 JOHN LOCKE WAY OWINGS MILLS, MD, 21117 Yes79 Vacant Indicator VACIND Indicates if structure on property is designated as vacant. Category Y, N, NULL Y, N Yes",,,6,Multi Polygon,Polygon data,238480,"-76.712,39.1972,-76.5289,39.3726",https://epsg.io/2248
b1g_hVC7k3BNljau,City_Line,,,,5,Multi Line String,Line data,1,"-76.7113,39.1972,-76.5297,39.372",https://epsg.io/3857
b1g_jPWHVstGXtCV,Council_District,,,,6,Multi Polygon,Polygon data,14,"-76.7122,39.1971,-76.5286,39.3728",https://epsg.io/2248
b1g_cOmJ2UkiTlMH,Neighborhood_NSA,"These boundaries were developed by the Department of Planning based on 2020 Census data. Be aware that other organizations may use different neighborhood boundaries in their analyses.Demographics included are: race, ethnicity, gender, vacancy rate, homeowner status, family structure, and age.",,,6,Multi Polygon,Polygon data,279,"-76.7121,39.1972,-76.5289,39.3726",https://epsg.io/2248
b1g_WchDyrtF5G0R,zipcar_location,,,,1,Point,Point data,25,"-76.6296,39.2746,-76.5931,39.3327",https://epsg.io/2248
b1g_XdEmJxcVu9yc,subway_station,This feature class represents the point location of Baltimore City Metro subway stations.,"Contact MOIT Enterprise Geographic Information Services for access constraints. 410-396-4106 | THE CITY OF BALTIMORE MAKES NO REPRESENTATIONS NOR WARRANTIES, EITHER EXPRESSED OR IMPLIED, REGARDING THE ACCURACY OF INFORMATION CONTAINED ON THIS MAP OR ITS SUITABILITY FOR ANY PARTICULAR PURPOSE WHATSOEVER. THE MAP IS SOLD AND/OR PROVIDED ""AS IS"" AND THE CITY OF BALTIMORE WILL NOT BE LIABLE FOR ITS USE OR MISUSE BY ANY PARTY.",Transportation,1,Point,Point data,14,"-76.7785,39.2896,-76.5939,39.4079",https://epsg.io/2248
b1g_35AMPCAWFk55,lightrail_station,This data set shows the location of lightrail stops within the transit system.,"Contact MOIT Enterprise Geographic Information Services for access constraints. 410-396-4106 | THE CITY OF BALTIMORE MAKES NO REPRESENTATIONS NOR WARRANTIES, EITHER EXPRESSED OR IMPLIED, REGARDING THE ACCURACY OF INFORMATION CONTAINED ON THIS MAP OR ITS SUITABILITY FOR ANY PARTICULAR PURPOSE WHATSOEVER. THE MAP IS SOLD AND/OR PROVIDED ""AS IS"" AND THE CITY OF BALTIMORE WILL NOT BE LIABLE FOR ITS USE OR MISUSE BY ANY PARTY.",Transportation,1,Point,Point data,26,"-76.6568,39.1715,-76.6147,39.4486",https://epsg.io/2248
